FlyPopulationCode;RefCode;SiteCode;FlyFamily;FlyGenus;FlySpecies;FlySubspecies;CurrentFlySpecies;FlyCaptureNumber;FlyFemales;FlyMales;FlyUndetermined;
BFFPOP0544;BFR021;BFA154;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;18;NA;NA;18;
BFFPOP0545;BFR021;BFA154;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;21;NA;NA;21;
BFFPOP0546;BFR021;BFA154;Nycteribiidae;Basilia;Basilia andersoni;;Basilia andersoni;3;NA;NA;3;
BFFPOP0547;BFR022;BFA155;Nycteribiidae;Basilia;Basilia forcipata;;Basilia forcipata;14;NA;NA;14;
BFFPOP0548;BFR022;BFA156;Nycteribiidae;Basilia;Basilia antrozoi;;Basilia antrozoi;3;NA;NA;3;
BFFPOP0549;BFR023;BFA157;Streblidae;Trichobius;Trichobius dugesii;;Trichobius dugesii;9;NA;NA;9;
BFFPOP0550;BFR023;BFA157;Streblidae;Exastinion;Exastinion clovisi;;Exastinion clovisi;8;NA;NA;8;
BFFPOP0551;BFR023;BFA157;Streblidae;Trichobius;Trichobius costalimai;;Trichobius costalimai;8;NA;NA;8;
BFFPOP0552;BFR023;BFA157;Streblidae;Trichobius;Trichobius intermedius;;Trichobius intermedius;12;NA;NA;12;
BFFPOP0553;BFR023;BFA157;Streblidae;Paratrichobius;Paratrichobius lowei;;Paratrichobius lowei;3;NA;NA;3;
BFFPOP0554;BFR023;BFA157;Streblidae;Paratrichobius;Paratrichobius longicrus;;Paratrichobius longicrus;1;NA;NA;1;
BFFPOP0555;BFR023;BFA157;Streblidae;Paratrichobius;Paratrichobius salvini;;Paratrichobius salvini;2;NA;NA;2;
BFFPOP0556;BFR023;BFA157;Streblidae;Paratrichobius;Paratrichobius sanchezi;;Paratrichobius sanchezi;1;NA;NA;1;
BFFPOP0557;BFR023;BFA157;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;4;NA;NA;4;
BFFPOP0558;BFR024;BFA158;Streblidae;Trichobius;"Trichobius dugesii ""complex""";;"Trichobius duguesii ""complex""";NA;NA;NA;NA;
BFFPOP0559;BFR025;BFA159;Streblidae;Anatrichobius;Anatrichobius scorzai;;Anatrichobius scorzai;1;0;1;0;
BFFPOP0560;BFR025;BFA159;Streblidae;Aspidoptera;Aspidoptera delatorrei;;Aspidoptera delatorrei;1;1;0;0;
BFFPOP0561;BFR025;BFA159;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;5;3;2;0;
BFFPOP0562;BFR025;BFA159;Streblidae;Paratrichobius;Paratrichobius longicrus;;Paratrichobius longicrus;2;2;0;0;
BFFPOP0563;BFR025;BFA159;Streblidae;Trichobius;Trichobius brennani;;Trichobius brennani;2;1;1;0;
BFFPOP0564;BFR025;BFA159;Streblidae;Trichobius;Trichobius diphyllae;;Trichobius diphyllae;5;3;2;0;
BFFPOP0565;BFR025;BFA159;Streblidae;Anastrebla;Anastrebla modestini;;Anastrebla modestini;2;2;0;0;
BFFPOP0566;BFR025;BFA159;Streblidae;Strebla;Strebla diphyllae;;Strebla diphyllae;1;0;1;0;
BFFPOP0567;BFR026;BFA160;Streblidae;Strebla;Strebla wiedemanni;;Strebla wiedemanni;3;3;0;0;
BFFPOP0568;BFR026;BFA161;Streblidae;Mastoptera;Mastoptera minuta;;Mastoptera minuta;4;2;2;0;
BFFPOP0569;BFR026;BFA161;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;5;2;3;0;
BFFPOP0570;BFR026;BFA161;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;3;1;2;0;
BFFPOP0571;BFR026;BFA161;Streblidae;Paraeuctenodes;Paraeuctenodes longipes;;Paraeuctenodes longipes;1;1;0;0;
BFFPOP0572;BFR026;BFA161;Streblidae;Speiseria;Speiseria ambigua;;Speiseria ambigua;2;1;1;0;
BFFPOP0573;BFR026;BFA161;Streblidae;Strebla;Strebla alvarezi;;Strebla alvarezi;1;0;1;0;
BFFPOP0574;BFR026;BFA161;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;2;1;1;0;
BFFPOP0575;BFR026;BFA161;Streblidae;Trichobius;Trichobius diphyllae;;Trichobius diphyllae;5;1;4;0;
BFFPOP0576;BFR026;BFA161;Streblidae;Trichobius;Trichobius dugesioides;;Trichobius dugesioides;10;3;7;0;
BFFPOP0577;BFR026;BFA161;Streblidae;Trichobius;Trichobius dugesii;;Trichobius dugesii;8;3;5;0;
BFFPOP0578;BFR026;BFA161;Streblidae;Trichobius;Trichobius intermedius;;Trichobius intermedius;39;25;14;0;
BFFPOP0579;BFR026;BFA161;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;4;3;1;0;
BFFPOP0580;BFR026;BFA161;Streblidae;Trichobius;Trichobius johnsonae;;Trichobius johnsonae;1;0;1;0;
BFFPOP0581;BFR026;BFA161;Streblidae;Trichobius;Trichobius sp.;;Trichobius sp.;1;1;0;0;
BFFPOP0582;BFR026;BFA161;Streblidae;Trichobius;Trichobius sparsus;;Trichobius sparsus;10;5;5;0;
BFFPOP0583;BFR026;BFA161;Streblidae;Trichobius;Trichobius uniformis;;Trichobius uniformis;6;3;3;0;
BFFPOP0584;BFR026;BFA162;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;2;1;1;0;
BFFPOP0585;BFR026;BFA162;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;2;1;1;0;
BFFPOP0586;BFR026;BFA162;Streblidae;Paratrichobius;Paratrichobius lowei;;Paratrichobius lowei;1;0;1;0;
BFFPOP0587;BFR026;BFA162;Streblidae;Speiseria;Speiseria ambigua;;Speiseria ambigua;1;1;0;0;
BFFPOP0588;BFR026;BFA162;Streblidae;Trichobius;Trichobius costalimai;;Trichobius costalimai;2;1;1;0;
BFFPOP0589;BFR026;BFA162;Streblidae;Trichobius;Trichobius dugesioides;;Trichobius dugesioides;9;3;6;0;
BFFPOP0590;BFR026;BFA162;Streblidae;Trichobius;Trichobius dugesii;;Trichobius dugesii;2;0;2;0;
BFFPOP0591;BFR026;BFA162;Streblidae;Trichobius;Trichobius flagellatus;;Trichobius flagellatus;5;2;3;0;
BFFPOP0592;BFR026;BFA162;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;2;1;1;0;
BFFPOP0593;BFR026;BFA162;Streblidae;Trichobius;Trichobius sparsus;;Trichobius sparsus;13;5;8;0;
BFFPOP0594;BFR026;BFA162;Streblidae;Trichobius;Trichobius uniformis;;Trichobius uniformis;2;1;1;0;
BFFPOP0595;BFR026;BFA162;Streblidae;Trichobius;Trichobius yunkeri;;Trichobius yunkeri;8;5;3;0;
BFFPOP0596;BFR026;BFA163;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;2;2;0;0;
BFFPOP0597;BFR026;BFA163;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;18;7;11;0;
BFFPOP0598;BFR026;BFA163;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;1;0;1;0;
