InteractionSpeciesCode,BatPopulationCode,FlyPopulationCode,RefCode,SiteCode,CurrentBatSpecies,BatSubspecies,CurrentFlySpecies,FlySubspecies,NumberInteractions,NumberInteractionsByFlyFemales,NumberInteractionsByFlyMales,NumberInteractionsByFlyUndetermined,BatInfested,BatInfestedFemales,BatInfestedMales,Prevalence,PrevalenceOnBatFemales,PrevalenceOnBatMales,MeanFlyIntensity,MeanFlyIntensityOnBatFemales,MeanFlyIntensityOnBatMales,MeanFlyAbundance,MeanFlyAbundaceOnBatFemales,MeanFlyAbundanceOnBatMales,Observations
BFSSI0027,BFBPOP0019,BFFPOP0025,BFR003,BFA006,Sturnira lilium,NA,Megistopoda proxima,NA,14,10,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0028,BFBPOP0020,BFFPOP0026,BFR003,BFA007,Artibeus planirostris,NA,Megistopoda aranea,NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0029,BFBPOP0020,BFFPOP0027,BFR003,BFA007,Artibeus planirostris,NA,Metelasmus pseudopterus,NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0030,BFBPOP0021,BFFPOP0028,BFR003,BFA007,Sturnira lilium,NA,Aspidoptera phyllostomatis,NA,2,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0031,BFBPOP0021,BFFPOP0029,BFR003,BFA007,Sturnira lilium,NA,Megistopoda proxima,NA,13,9,4,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0032,BFBPOP0022,BFFPOP0030,BFR003,BFA008,Sturnira lilium,NA,Megistopoda proxima,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0033,BFBPOP0023,BFFPOP0031,BFR003,BFA009,Sturnira lilium,NA,Megistopoda proxima,NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0034,BFBPOP0024,BFFPOP0032,BFR003,BFA010,Myotis keaysi,NA,Anatrichobius scorzai,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0035,BFBPOP0025,BFFPOP0033,BFR003,BFA011,Anoura caudifer,NA,Anastrebla caudiferae,NA,4,2,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0036,BFBPOP0026,BFFPOP0034,BFR003,BFA011,Artibeus planirostris,NA,Megistopoda aranea,NA,8,6,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0037,BFBPOP0026,BFFPOP0035,BFR003,BFA011,Artibeus planirostris,NA,Metelasmus pseudopterus,NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0038,BFBPOP0027,BFFPOP0036,BFR003,BFA011,Eptesicus furinalis,NA,Basilia neamericana,NA,3,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0039,BFBPOP0028,BFFPOP0037,BFR003,BFA011,Myotis albescens,NA,Anatrichobius scorzai,NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0040,BFBPOP0028,BFFPOP0038,BFR003,BFA011,Myotis albescens,NA,Basilia carteri,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0041,BFBPOP0029,BFFPOP0039,BFR003,BFA011,Noctilio leporinus,NA,Noctiliostrebla aitkeni,NA,10,5,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0042,BFBPOP0029,BFFPOP0040,BFR003,BFA011,Noctilio leporinus,NA,Paradyschiria fusca,NA,9,7,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0043,BFBPOP0030,BFFPOP0041,BFR003,BFA011,Sturnira lilium,NA,Megistopoda proxima,NA,19,9,10,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0044,BFBPOP0031,BFFPOP0041,BFR003,BFA011,Sturnira oporaphillum,NA,Megistopoda proxima,NA,2,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0045,BFBPOP0032,BFFPOP0042,BFR003,BFA012,Artibeus planirostris,NA,Megistopoda aranea,NA,2,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0046,BFBPOP0032,BFFPOP0043,BFR003,BFA012,Artibeus planirostris,NA,Metelasmus pseudopterus,NA,4,2,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0047,BFBPOP0033,BFFPOP0044,BFR003,BFA013,Myotis albescens,NA,Basilia carteri,NA,2,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0048,BFBPOP0034,BFFPOP0045,BFR003,BFA014,Histiotus macrotus,NA,Basilia plaumanni,NA,9,4,5,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0049,BFBPOP0035,BFFPOP0046,BFR003,BFA015,Sturnira lilium,NA,Megistopoda proxima,NA,2,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0050,BFBPOP0036,BFFPOP0047,BFR003,BFA016,Myotis levis,NA,Basilia carteri,NA,5,2,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0051,BFBPOP0037,BFFPOP0048,BFR003,BFA017,Artibeus fimbriatus,NA,Megistopoda aranea,NA,2,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0052,BFBPOP0037,BFFPOP0049,BFR003,BFA017,Artibeus fimbriatus,NA,Metelasmus pseudopterus,NA,2,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0053,BFBPOP0038,BFFPOP0050,BFR003,BFA018,Artibeus planirostris,NA,Megistopoda aranea,NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0054,BFBPOP0039,BFFPOP0051,BFR003,BFA018,Eptesicus furinalis,NA,Basilia neamericana,NA,5,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0055,BFBPOP0040,BFFPOP0052,BFR003,BFA019,Artibeus planirostris,NA,Megistopoda aranea,NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0056,BFBPOP0041,BFFPOP0053,BFR003,BFA019,Myotis riparius,NA,Basilia carteri,NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0057,BFBPOP0042,BFFPOP0054,BFR003,BFA020,Artibeus planirostris,NA,Megistopoda aranea,NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0058,BFBPOP0042,BFFPOP0055,BFR003,BFA020,Artibeus planirostris,NA,Metelasmus pseudopterus,NA,2,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0059,BFBPOP0043,BFFPOP0056,BFR003,BFA020,Desmodus rotundus,NA,Trichobius parasiticus,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0060,BFBPOP0044,BFFPOP0057,BFR003,BFA021,Myotis nigricans,NA,Basilia carteri,NA,2,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0061,BFBPOP0045,BFFPOP0058,BFR003,BFA022,Tadarida brasiliensis,NA,Basilia carteri,NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0062,BFBPOP0046,BFFPOP0059,BFR003,BFA023,Desmodus rotundus,NA,Trichobius parasiticus,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0063,BFBPOP0047,BFFPOP0060,BFR003,BFA024,Noctilio leporinus,NA,Noctiliostrebla aitkeni,NA,4,2,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0064,BFBPOP0047,BFFPOP0061,BFR003,BFA024,Noctilio leporinus,NA,Noctiliostrebla dubia,NA,5,2,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0065,BFBPOP0047,BFFPOP0062,BFR003,BFA024,Noctilio leporinus,NA,Paradyschiria fusca,NA,13,7,6,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0066,BFBPOP0047,BFFPOP0063,BFR003,BFA024,Noctilio leporinus,NA,Paradyschiria sp.,NA,8,7,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0067,BFBPOP0047,BFFPOP0064,BFR003,BFA024,Noctilio leporinus,NA,Xenotrichobius noctilionis,NA,3,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0068,BFBPOP0048,BFFPOP0065,BFR003,BFA025,Artibeus planirostris,NA,Megistopoda aranea,NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0069,BFBPOP0049,BFFPOP0066,BFR004,BFA026,Phyllostomus hastatus,NA,Strebla consocia,NA,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0070,BFBPOP0050,BFFPOP0067,BFR004,BFA026,Tonatia saurophila,NA,Strebla galindoi,NA,4,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0071,BFBPOP0051,BFFPOP0068,BFR004,BFA026,Carollia perspicillata,NA,Strebla guajiro,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0072,BFBPOP0052,BFFPOP0069,BFR004,BFA026,Trinycteris nicefori,NA,Strebla obtusa,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0073,BFBPOP0053,BFFPOP0070,BFR004,BFA026,Micronycteris megalotis,NA,Strebla tonatiae,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0074,BFBPOP0054,BFFPOP0071,BFR004,BFA026,Sturnira magna,NA,Aspidoptera falcata,NA,3,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0075,BFBPOP0055,BFFPOP0072,BFR004,BFA026,Vampyriscus bidens,NA,Paratrichobius dunni,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0076,BFBPOP0056,BFFPOP0073,BFR004,BFA026,Lophostoma silvicolum,NA,Pseudostrebla ribeiroi,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0077,BFBPOP0057,BFFPOP0074,BFR004,BFA027,Carollia perspicillata,NA,Strebla guajiro,NA,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0078,BFBPOP0058,BFFPOP0075,BFR004,BFA027,Sturnira lilium,NA,Aspidoptera falcata,NA,4,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0079,BFBPOP0059,BFFPOP0076,BFR004,BFA027,Uroderma bilobatum,NA,Paratrichobius dunni,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0080,BFBPOP0060,BFFPOP0077,BFR004,BFA028,Sturnira cf. lilium,NA,Aspidoptera falcata,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0081,BFBPOP0061,BFFPOP0077,BFR004,BFA028,Sturnira lilium,NA,Aspidoptera falcata,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0082,BFBPOP0062,BFFPOP0077,BFR004,BFA028,Sturnira sp.,NA,Aspidoptera falcata,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0083,BFBPOP0063,BFFPOP0078,BFR004,BFA028,Mesophylla macconnelli,NA,Neotrichobius ectophyllae,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0084,BFBPOP0064,BFFPOP0079,BFR004,BFA029,Phyllostomus discolor,NA,Strebla hertigi,NA,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0085,BFBPOP0065,BFFPOP0080,BFR004,BFA030,Myotis simus,NA,Paradyschiria parvula,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0086,BFBPOP0066,BFFPOP0081,BFR004,BFA031,Phyllostomus discolor,NA,Strebla hertigi,NA,3,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
