InteractionSpeciesCode,BatPopulationCode,FlyPopulationCode,RefCode,SiteCode,CurrentBatSpecies,BatSubspecies,CurrentFlySpecies,FlySubspecies,NumberInteractions,NumberInteractionsByFlyFemales,NumberInteractionsByFlyMales,NumberInteractionsByFlyUndetermined,BatInfested,BatInfestedFemales,BatInfestedMales,Prevalence,PrevalenceOnBatFemales,PrevalenceOnBatMales,MeanFlyIntensity,MeanFlyIntensityOnBatFemales,MeanFlyIntensityOnBatMales,MeanFlyAbundance,MeanFlyAbundaceOnBatFemales,MeanFlyAbundanceOnBatMales,Observations
BFSSI0694,BFBPOP0451,BFFPOP0578,BFR023,BFA126,Pteronotus parnellii,NA,Trichobius sparsus,NA,7,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0695,BFBPOP0452,BFFPOP0579,BFR023,BFA127,Artibeus jamaicensis,NA,Megistopoda aranea,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0696,BFBPOP0452,BFFPOP0580,BFR023,BFA127,Artibeus jamaicensis,NA,Trichobius intermedius,NA,5,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0697,BFBPOP0453,BFFPOP0581,BFR023,BFA127,Carollia sowelli,NA,Trichobius joblingi,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0698,BFBPOP0454,BFFPOP0582,BFR023,BFA127,Desmodus rotundus,NA,Trichobius parasiticus,NA,6,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0699,BFBPOP0455,BFFPOP0581,BFR023,BFA127,Mimon cozumelae,NA,Trichobius joblingi,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0700,BFBPOP0455,BFFPOP0583,BFR023,BFA127,Mimon cozumelae,NA,Trichobius sp.,NA,4,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0701,BFBPOP0456,BFFPOP0583,BFR023,BFA127,Trachops cirrhosus,NA,Trichobius sp.,NA,3,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0702,BFBPOP0457,BFFPOP0586,BFR023,BFA128,Carollia perspicillata,NA,Speiseria ambigua,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0703,BFBPOP0457,BFFPOP0588,BFR023,BFA128,Carollia perspicillata,NA,Trichobius dugesii,NA,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0704,BFBPOP0457,BFFPOP0590,BFR023,BFA128,Carollia perspicillata,NA,Trichobius joblingi,NA,3,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0705,BFBPOP0458,BFFPOP0586,BFR023,BFA128,Carollia sowelli,NA,Speiseria ambigua,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0706,BFBPOP0458,BFFPOP0587,BFR023,BFA128,Carollia sowelli,NA,Strebla guajiro,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0707,BFBPOP0458,BFFPOP0590,BFR023,BFA128,Carollia sowelli,NA,Trichobius joblingi,NA,10,3,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0708,BFBPOP0459,BFFPOP0591,BFR023,BFA128,Desmodus rotundus,NA,Trichobius parasiticus,NA,6,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0709,BFBPOP0459,BFFPOP0591,BFR023,BFA128,Desmodus rotundus,NA,Trichobius parasiticus,NA,4,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0710,BFBPOP0460,BFFPOP0589,BFR023,BFA128,Lonchorhina aurita,NA,Trichobius flagellatus,NA,5,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0711,BFBPOP0461,BFFPOP0584,BFR023,BFA128,Sturnira hondurensis,NA,Aspidoptera delatorrei,NA,5,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0712,BFBPOP0461,BFFPOP0585,BFR023,BFA128,Sturnira hondurensis,NA,Megistopoda proxima,NA,4,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0713,BFBPOP0462,BFFPOP0594,BFR023,BFA129,Artibeus jamaicensis,NA,Megistopoda aranea,NA,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0714,BFBPOP0462,BFFPOP0600,BFR023,BFA129,Artibeus jamaicensis,NA,Trichobius intermedius,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0715,BFBPOP0463,BFFPOP0596,BFR023,BFA129,Carollia sowelli,NA,Speiseria ambigua,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0716,BFBPOP0463,BFFPOP0597,BFR023,BFA129,Carollia sowelli,NA,Strebla guajiro,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0717,BFBPOP0463,BFFPOP0601,BFR023,BFA129,Carollia sowelli,NA,Trichobius joblingi,NA,3,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0718,BFBPOP0464,BFFPOP0599,BFR023,BFA129,Lonchorhina aurita,NA,Trichobius flagellatus,NA,11,4,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0719,BFBPOP0465,BFFPOP0593,BFR023,BFA129,Nycticeius humeralis,NA,Basilia ortizi,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0720,BFBPOP0466,BFFPOP0602,BFR023,BFA129,Pteronotus parnellii,NA,Trichobius sparsus,NA,4,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0721,BFBPOP0466,BFFPOP0603,BFR023,BFA129,Pteronotus parnellii,NA,Trichobius yunkeri,NA,4,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0722,BFBPOP0466,BFFPOP0603,BFR023,BFA129,Pteronotus parnellii,NA,Trichobius yunkeri,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0723,BFBPOP0467,BFFPOP0592,BFR023,BFA129,Sturnira hondurensis,NA,Aspidoptera delatorrei,NA,3,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0724,BFBPOP0467,BFFPOP0595,BFR023,BFA129,Sturnira hondurensis,NA,Megistopoda proxima,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0725,BFBPOP0468,BFFPOP0598,BFR023,BFA129,Trachops cirrhosus,NA,Trichobius dugesioides,NA,4,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0726,BFBPOP0469,BFFPOP0608,BFR023,BFA130,Artibeus jamaicensis,NA,Trichobius intermedius,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0727,BFBPOP0470,BFFPOP0606,BFR023,BFA130,Carollia perspicillata,NA,Strebla guajiro,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0728,BFBPOP0470,BFFPOP0609,BFR023,BFA130,Carollia perspicillata,NA,Trichobius joblingi,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0729,BFBPOP0471,BFFPOP0607,BFR023,BFA130,Lonchorhina aurita,NA,Trichobius flagellatus,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0730,BFBPOP0472,BFFPOP0604,BFR023,BFA130,Sturnira hondurensis,NA,Aspidoptera delatorrei,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0731,BFBPOP0472,BFFPOP0605,BFR023,BFA130,Sturnira hondurensis,NA,Megistopoda proxima,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0732,BFBPOP0473,BFFPOP0611,BFR023,BFA131,Myotis keaysi,NA,Trichobius hirsutulus,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0733,BFBPOP0474,BFFPOP0612,BFR023,BFA131,Pteronotus personatus,NA,Trichobius johnsonae,NA,3,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0734,BFBPOP0475,BFFPOP0610,BFR023,BFA131,Phyllostomus discolor,NA,Strebla hertigi,NA,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0735,BFBPOP0476,BFFPOP0613,BFR023,BFA131,Pteronotus parnellii,NA,Trichobius sparsus,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0736,BFBPOP0477,BFFPOP0617,BFR023,BFA132,Carollia sowelli,NA,Trichobius joblingi,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0737,BFBPOP0477,BFFPOP0618,BFR023,BFA132,Carollia sowelli,NA,Trichobius sp.,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0738,BFBPOP0478,BFFPOP0615,BFR023,BFA132,Diphylla ecaudata,NA,Trichobius diphyllae,NA,4,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0739,BFBPOP0479,BFFPOP0619,BFR023,BFA132,Glossophaga morenoi,NA,Trichobius uniformis,NA,3,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0740,BFBPOP0480,BFFPOP0619,BFR023,BFA132,Glossophaga soricina,NA,Trichobius uniformis,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0741,BFBPOP0481,BFFPOP0616,BFR023,BFA132,Myotis keaysi,NA,Trichobius hirsutulus,NA,4,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0742,BFBPOP0482,BFFPOP0614,BFR023,BFA132,Sturnira hondurensis,NA,Aspidoptera delatorrei,NA,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0743,BFBPOP0483,BFFPOP0622,BFR024,BFA133,Artibeus jamaicensis,NA,Trichobius intermedius,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0744,BFBPOP0484,BFFPOP0620,BFR024,BFA133,Diphylla ecaudata,NA,Strebla diphyllae,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0745,BFBPOP0484,BFFPOP0621,BFR024,BFA133,Diphylla ecaudata,NA,Trichobius diphyllae,NA,3,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0746,BFBPOP0485,BFFPOP0623,BFR024,BFA133,Pteronotus mesoamericanus,NA,Trichobius yunkeri,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0747,BFBPOP0486,BFFPOP0625,BFR024,BFA134,Artibeus jamaicensis,NA,Megistopoda aranea,NA,9,6,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0748,BFBPOP0486,BFFPOP0628,BFR024,BFA134,Artibeus jamaicensis,NA,Trichobius intermedius,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0749,BFBPOP0487,BFFPOP0627,BFR024,BFA134,Glossophaga soricina,NA,Trichobius dugesii,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0750,BFBPOP0487,BFFPOP0629,BFR024,BFA134,Glossophaga soricina,NA,Trichobius uniformis,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0751,BFBPOP0488,BFFPOP0630,BFR024,BFA134,Pteronotus mesoamericanus,NA,Trichobius yunkeri,NA,4,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0752,BFBPOP0489,BFFPOP0624,BFR024,BFA134,Sturnira parvidens,NA,Aspidoptera delatorrei,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0753,BFBPOP0489,BFFPOP0626,BFR024,BFA134,Sturnira parvidens,NA,Megistopoda proxima,NA,3,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0754,BFBPOP0490,BFFPOP0631,BFR024,BFA135,Artibeus jamaicensis,NA,Megistopoda aranea,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0755,BFBPOP0490,BFFPOP0635,BFR024,BFA135,Artibeus jamaicensis,NA,Trichobius intermedius,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0756,BFBPOP0491,BFFPOP0633,BFR024,BFA135,Desmodus rotundus,NA,Strebla wiedemanni,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0757,BFBPOP0491,BFFPOP0636,BFR024,BFA135,Desmodus rotundus,NA,Trichobius parasiticus,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0758,BFBPOP0492,BFFPOP0632,BFR024,BFA135,Glossophaga soricina,NA,Strebla alvarezi,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0759,BFBPOP0492,BFFPOP0634,BFR024,BFA135,Glossophaga soricina,NA,Trichobius dugesii,NA,4,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0760,BFBPOP0493,BFFPOP0637,BFR024,BFA135,Pteronotus mesoamericanus,NA,Trichobius yunkeri,NA,4,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0761,BFBPOP0494,BFFPOP0638,BFR024,BFA136,Artibeus jamaicensis,NA,Megistopoda aranea,NA,11,2,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0762,BFBPOP0494,BFFPOP0640,BFR024,BFA136,Artibeus jamaicensis,NA,Metelasmus pseudopterus,NA,2,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0763,BFBPOP0494,BFFPOP0644,BFR024,BFA136,Artibeus jamaicensis,NA,Trichobius intermedius,NA,37,16,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0764,BFBPOP0495,BFFPOP0641,BFR024,BFA136,Desmodus rotundus,NA,Strebla wiedemanni,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0765,BFBPOP0495,BFFPOP0641,BFR024,BFA136,Desmodus rotundus,NA,Strebla wiedemanni,NA,23,11,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0766,BFBPOP0495,BFFPOP0645,BFR024,BFA136,Desmodus rotundus,NA,Trichobius parasiticus,NA,23,9,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0767,BFBPOP0496,BFFPOP0642,BFR024,BFA136,Glossophaga soricina,NA,Trichobius dugesii,NA,4,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0768,BFBPOP0496,BFFPOP0646,BFR024,BFA136,Glossophaga soricina,NA,Trichobius uniformis,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0769,BFBPOP0497,BFFPOP0642,BFR024,BFA136,Mimon cozumelae,NA,Trichobius dugesii,NA,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0770,BFBPOP0498,BFFPOP0643,BFR024,BFA136,Myotis keaysi,NA,Trichobius hirsutulus,NA,35,16,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0771,BFBPOP0499,BFFPOP0639,BFR024,BFA136,Sturnira parvidens,NA,Megistopoda proxima,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0772,BFBPOP0500,BFFPOP0648,BFR024,BFA137,Artibeus jamaicensis,NA,Megistopoda aranea,NA,21,3,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0773,BFBPOP0500,BFFPOP0650,BFR024,BFA137,Artibeus jamaicensis,NA,Metelasmus pseudopterus,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0774,BFBPOP0500,BFFPOP0653,BFR024,BFA137,Artibeus jamaicensis,NA,Trichobius intermedius,NA,52,21,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0775,BFBPOP0501,BFFPOP0651,BFR024,BFA137,Desmodus rotundus,NA,Strebla wiedemanni,NA,12,8,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0776,BFBPOP0501,BFFPOP0654,BFR024,BFA137,Desmodus rotundus,NA,Trichobius parasiticus,NA,54,19,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0777,BFBPOP0502,BFFPOP0652,BFR024,BFA137,Glossophaga soricina,NA,Trichobius dugesii,NA,5,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0778,BFBPOP0502,BFFPOP0655,BFR024,BFA137,Glossophaga soricina,NA,Trichobius uniformis,NA,6,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0779,BFBPOP0503,BFFPOP0647,BFR024,BFA137,Sturnira parvidens,NA,Aspidoptera delatorrei,NA,7,4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0780,BFBPOP0503,BFFPOP0649,BFR024,BFA137,Sturnira parvidens,NA,Megistopoda proxima,NA,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0781,BFBPOP0504,BFFPOP0656,BFR024,BFA138,Artibeus jamaicensis,NA,Megistopoda aranea,NA,12,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0782,BFBPOP0504,BFFPOP0657,BFR024,BFA138,Artibeus jamaicensis,NA,Metelasmus pseudopterus,NA,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0783,BFBPOP0504,BFFPOP0661,BFR024,BFA138,Artibeus jamaicensis,NA,Trichobius intermedius,NA,18,9,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0784,BFBPOP0505,BFFPOP0659,BFR024,BFA138,Desmodus rotundus,NA,Strebla wiedemanni,NA,9,4,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0785,BFBPOP0505,BFFPOP0662,BFR024,BFA138,Desmodus rotundus,NA,Trichobius parasiticus,NA,27,12,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0786,BFBPOP0506,BFFPOP0660,BFR024,BFA138,Glossophaga soricina,NA,Trichobius dugesii,NA,6,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0787,BFBPOP0506,BFFPOP0663,BFR024,BFA138,Glossophaga soricina,NA,Trichobius uniformis,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0788,BFBPOP0507,BFFPOP0660,BFR024,BFA138,Lampronycteris brachyotis,NA,Trichobius dugesii,NA,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0789,BFBPOP0508,BFFPOP0658,BFR024,BFA138,Pteronotus mesoamericanus,NA,Nycterophilia natali,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0790,BFBPOP0508,BFFPOP0664,BFR024,BFA138,Pteronotus mesoamericanus,NA,Trichobius yunkeri,NA,26,17,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0791,BFBPOP0509,BFFPOP0666,BFR024,BFA139,Artibeus jamaicensis,NA,Megistopoda aranea,NA,19,8,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0792,BFBPOP0509,BFFPOP0672,BFR024,BFA139,Artibeus jamaicensis,NA,Trichobius intermedius,NA,27,18,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0793,BFBPOP0510,BFFPOP0669,BFR024,BFA139,Desmodus rotundus,NA,Strebla wiedemanni,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0794,BFBPOP0510,BFFPOP0673,BFR024,BFA139,Desmodus rotundus,NA,Trichobius parasiticus,NA,26,14,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0795,BFBPOP0511,BFFPOP0670,BFR024,BFA139,Glossophaga soricina,NA,Trichobius dugesii,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0796,BFBPOP0511,BFFPOP0674,BFR024,BFA139,Glossophaga soricina,NA,Trichobius uniformis,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0797,BFBPOP0512,BFFPOP0668,BFR024,BFA139,Mimon cozumelae,NA,Strebla alvarezi,NA,15,5,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0798,BFBPOP0512,BFFPOP0670,BFR024,BFA139,Mimon cozumelae,NA,Trichobius dugesii,NA,4,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0799,BFBPOP0513,BFFPOP0671,BFR024,BFA139,Natalus mexicanus,NA,Trichobius galei,NA,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0800,BFBPOP0514,BFFPOP0672,BFR024,BFA139,Rhogeessa aeneus,NA,Trichobius intermedius,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0801,BFBPOP0515,BFFPOP0665,BFR024,BFA139,Sturnira parvidens,NA,Aspidoptera delatorrei,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0802,BFBPOP0515,BFFPOP0667,BFR024,BFA139,Sturnira parvidens,NA,Megistopoda proxima,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0803,BFBPOP0516,BFFPOP0676,BFR024,BFA140,Artibeus jamaicensis,NA,Megistopoda aranea,NA,42,18,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0804,BFBPOP0516,BFFPOP0683,BFR024,BFA140,Artibeus jamaicensis,NA,Trichobius intermedius,NA,182,92,89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0805,BFBPOP0516,BFFPOP0686,BFR024,BFA140,Artibeus jamaicensis,NA,Trichobius yunkeri,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0806,BFBPOP0517,BFFPOP0684,BFR024,BFA140,Centurio senex,NA,Trichobius parasiticus,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0807,BFBPOP0518,BFFPOP0680,BFR024,BFA140,Desmodus rotundus,NA,Strebla wiedemanni,NA,17,8,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0808,BFBPOP0518,BFFPOP0684,BFR024,BFA140,Desmodus rotundus,NA,Trichobius parasiticus,NA,89,33,56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0809,BFBPOP0519,BFFPOP0679,BFR024,BFA140,Glossophaga soricina,NA,Strebla alvarezi,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0810,BFBPOP0519,BFFPOP0681,BFR024,BFA140,Glossophaga soricina,NA,Trichobius dugesii,NA,7,3,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0811,BFBPOP0519,BFFPOP0685,BFR024,BFA140,Glossophaga soricina,NA,Trichobius uniformis,NA,7,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0812,BFBPOP0520,BFFPOP0682,BFR024,BFA140,Myotis keaysi,NA,Trichobius hirsutulus,NA,5,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0813,BFBPOP0521,BFFPOP0678,BFR024,BFA140,Pteronotus mesoamericanus,NA,Nycterophilia coxata,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0814,BFBPOP0521,BFFPOP0686,BFR024,BFA140,Pteronotus mesoamericanus,NA,Trichobius yunkeri,NA,14,5,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0815,BFBPOP0522,BFFPOP0675,BFR024,BFA140,Sturnira parvidens,NA,Aspidoptera delatorrei,NA,34,20,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0816,BFBPOP0522,BFFPOP0677,BFR024,BFA140,Sturnira parvidens,NA,Megistopoda proxima,NA,38,15,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0817,BFBPOP0523,BFFPOP0688,BFR024,BFA141,Artibeus jamaicensis,NA,Megistopoda aranea,NA,60,15,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
