BatPopulationCode;RefCode;SiteCode;BatSuborder;BatFamily;BatGenus;BatSpecies;CurrentBatSpecies;BatRoost;BatCaptureNumber;BatMarks;BatFemales;BatMales;BatJuvenile;BatAdult;BatLactatingFemales;BatNonreproductiveFemales;BatPregnantFemales;BatNonreproductiveMales;BatScrotalTestesMales;
BFBPOP0001;BFR001;BFA001;Yangochiroptera;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;caves;160;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0002;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Anoura;Anoura carishina;Anoura carishina;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0003;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus lituratus;Artibeus lituratus;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0004;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Carollia;Carollia castanea;Carollia castanea;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0005;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0006;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0007;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0008;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira giannae;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0009;BFR003;BFA003;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0010;BFR003;BFA003;Yangochiroptera;Phyllostomidae;Chrotopterus;Chrotopterus auritus;Chrotopterus auritus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0011;BFR003;BFA003;Yangochiroptera;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0012;BFR003;BFA003;Yangochiroptera;Vespertilionidae;Eptesicus;Eptesicus furinalis;Eptesicus furinalis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0013;BFR003;BFA003;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0014;BFR003;BFA004;Yangochiroptera;Phyllostomidae;Diaemus;Diaemus youngi;Diaemus youngi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0015;BFR003;BFA005;Yangochiroptera;Phyllostomidae;Eptesicus;Eptesicus furinalis;Eptesicus furinalis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0016;BFR003;BFA005;Yangochiroptera;Vespertilionidae;Myotis;Myotis albescens;Myotis albescens;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0017;BFR003;BFA005;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0018;BFR003;BFA006;Yangochiroptera;Vespertilionidae;Eptesicus;Eptesicus furinalis;Eptesicus furinalis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0019;BFR003;BFA006;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0020;BFR003;BFA007;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0021;BFR003;BFA007;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0022;BFR003;BFA008;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0023;BFR003;BFA009;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0024;BFR003;BFA010;Yangochiroptera;Vespertilionidae;Myotis;Myotis keaysi;Myotis keaysi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0025;BFR003;BFA011;Yangochiroptera;Phyllostomidae;Anoura;Anoura caudifer;Anoura caudifer;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0026;BFR003;BFA011;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0027;BFR003;BFA011;Yangochiroptera;Vespertilionidae;Eptesicus;Eptesicus furinalis;Eptesicus furinalis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0028;BFR003;BFA011;Yangochiroptera;Vespertilionidae;Myotis;Myotis albescens;Myotis albescens;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0029;BFR003;BFA011;Yangochiroptera;Noctilionidae;Noctilio;Noctilio leporinus;Noctilio leporinus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0030;BFR003;BFA011;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0031;BFR003;BFA011;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira oporaphillum;Sturnira oporaphillum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0032;BFR003;BFA012;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0033;BFR003;BFA013;Yangochiroptera;Vespertilionidae;Myotis;Myotis albescens;Myotis albescens;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0034;BFR003;BFA014;Yangochiroptera;Vespertilionidae;Histiotus;Histiotus macrotus;Histiotus macrotus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0035;BFR003;BFA015;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0036;BFR003;BFA016;Yangochiroptera;Vespertilionidae;Myotis;Myotis levis;Myotis levis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0037;BFR003;BFA017;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus fimbriatus;Artibeus fimbriatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0038;BFR003;BFA018;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0039;BFR003;BFA018;Yangochiroptera;Vespertilionidae;Eptesicus;Eptesicus furinalis;Eptesicus furinalis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0040;BFR003;BFA019;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0041;BFR003;BFA019;Yangochiroptera;Vespertilionidae;Myotis;Myotis riparius;Myotis riparius;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0042;BFR003;BFA020;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0043;BFR003;BFA020;Yangochiroptera;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0044;BFR003;BFA021;Yangochiroptera;Vespertilionidae;Myotis;Myotis nigricans;Myotis nigricans;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0045;BFR003;BFA022;Yangochiroptera;Molossidae;Tadarida;Tadarida brasiliensis;Tadarida brasiliensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0046;BFR003;BFA023;Yangochiroptera;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0047;BFR003;BFA024;Yangochiroptera;Noctilionidae;Noctilio;Noctilio leporinus;Noctilio leporinus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0048;BFR003;BFA025;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0049;BFR004;BFA026;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0050;BFR004;BFA026;Yangochiroptera;Phyllostomidae;Tonatia;Tonatia saurophila;Tonatia saurophila;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0051;BFR004;BFA026;Yangochiroptera;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0052;BFR004;BFA026;Yangochiroptera;Phyllostomidae;Trinycteris;Trinycteris nicefori;Trinycteris nicefori;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0053;BFR004;BFA026;Yangochiroptera;Phyllostomidae;Micronycteris;Micronycteris megalotis;Micronycteris megalotis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0054;BFR004;BFA026;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira magna;Sturnira magna;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0055;BFR004;BFA026;Yangochiroptera;Phyllostomidae;Vampyriscus;Vampyriscus bidens;Vampyriscus bidens;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0056;BFR004;BFA026;Yangochiroptera;Phyllostomidae;Lophostoma;Lophostoma silvicolum;Lophostoma silvicolum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0057;BFR004;BFA027;Yangochiroptera;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0058;BFR004;BFA027;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0059;BFR004;BFA027;Yangochiroptera;Phyllostomidae;Uroderma;Uroderma bilobatum;Uroderma bilobatum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0060;BFR004;BFA028;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira cf. lilium;Sturnira cf. lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0061;BFR004;BFA028;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0062;BFR004;BFA028;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira sp.;Sturnira sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0063;BFR004;BFA028;Yangochiroptera;Phyllostomidae;Mesophylla;Mesophylla macconnelli;Mesophylla macconnelli;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0064;BFR004;BFA029;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0065;BFR004;BFA030;Yangochiroptera;Vespertilionidae;Myotis;Myotis simus;Myotis simus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0066;BFR004;BFA031;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0067;BFR004;BFA032;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0068;BFR004;BFA032;Yangochiroptera;Noctilionidae;Noctilio;Noctilio albiventris;Noctilio albiventris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0069;BFR004;BFA033;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus elongatus;Phyllostomus elongatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0070;BFR004;BFA033;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0071;BFR004;BFA033;Yangochiroptera;Phyllostomidae;Tonatia;Tonatia saurophila;Tonatia saurophila;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0072;BFR004;BFA033;Yangochiroptera;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0073;BFR004;BFA033;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0074;BFR004;BFA033;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira tildae;Sturnira tildae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0075;BFR004;BFA033;Yangochiroptera;Phyllostomidae;Dermanura;Dermanura gnomus;Dermanura gnoma;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0076;BFR004;BFA034;Yangochiroptera;Phyllostomidae;Platyrrhinus;Platyrrhinus brachycephalus;Platyrrhinus brachycephalus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0077;BFR004;BFA035;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0078;BFR004;BFA036;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus lituratus;Artibeus lituratus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0079;BFR004;BFA037;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0080;BFR004;BFA037;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira sp.;Sturnira sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0081;BFR004;BFA037;Yangochiroptera;Phyllostomidae;Dermanura;Dermanura anderseni;Dermanura anderseni;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0082;BFR004;BFA038;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0083;BFR004;BFA039;Yangochiroptera;Phyllostomidae;Carollia;Carollia brevicauda;Carollia brevicauda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0084;BFR004;BFA039;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0085;BFR004;BFA039;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira sp.;Sturnira sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0086;BFR004;BFA039;Yangochiroptera;Phyllostomidae;Rhinophylla;Rhinophylla fischerae;Rhinophylla fischerae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0087;BFR004;BFA040;Yangochiroptera;Molossidae;Molossus;Molossus rufus;Molossus rufus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0088;BFR004;BFA041;Yangochiroptera;Noctilionidae;Noctilio;Noctilio albiventris;Noctilio albiventris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0089;BFR004;BFA042;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus lituratus;Artibeus lituratus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0090;BFR004;BFA043;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus lituratus;Artibeus lituratus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0091;BFR004;BFA044;Yangochiroptera;Phyllostomidae;Platyrrhinus;Platyrrhinus brachycephalus;Platyrrhinus brachycephalus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0092;BFR004;BFA045;Yangochiroptera;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0093;BFR004;BFA045;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0094;BFR004;BFA046;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus elongatus;Phyllostomus elongatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0095;BFR004;BFA046;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0096;BFR004;BFA047;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus sp.;Artibeus sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0097;BFR004;BFA047;Yangochiroptera;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0098;BFR004;BFA047;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira tildae;Sturnira tildae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0099;BFR004;BFA048;Yangochiroptera;Phyllostomidae;Lophostoma;Lophostoma brasiliense;Lophostoma brasiliense;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0100;BFR004;BFA048;Yangochiroptera;Phyllostomidae;Lophostoma;Lophostoma silvicolum;Lophostoma silvicolum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0101;BFR004;BFA048;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0102;BFR004;BFA049;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0103;BFR004;BFA049;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0104;BFR004;BFA049;Yangochiroptera;Phyllostomidae;Lophostoma;Lophostoma silvicolum;Lophostoma silvicolum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0105;BFR004;BFA050;Yangochiroptera;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0106;BFR004;BFA050;Yangochiroptera;Phyllostomidae;Mimon;Mimon crenulatum;Gardnerycteris crenulatum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0107;BFR004;BFA050;Yangochiroptera;Noctilionidae;Noctilio;Noctilio leporinus;Noctilio leporinus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0108;BFR004;BFA051;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira sp.;Sturnira sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0109;BFR004;BFA051;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0110;BFR004;BFA052;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira sp.;Sturnira sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0111;BFR004;BFA053;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0112;BFR004;BFA053;Yangochiroptera;Phyllostomidae;Tonatia;Tonatia saurophila;Tonatia saurophila;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0113;BFR004;BFA053;Yangochiroptera;Phyllostomidae;Glossophaga;Glossophaga soricina;Glossophaga soricina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0114;BFR004;BFA053;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0115;BFR004;BFA054;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0116;BFR004;BFA054;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0117;BFR004;BFA055;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0118;BFR004;BFA055;Yangochiroptera;Phyllostomidae;Glossophaga;Glossophaga soricina;Glossophaga soricina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0119;BFR004;BFA056;Yangochiroptera;Phyllostomidae;Tonatia;Tonatia saurophila;Tonatia saurophila;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0120;BFR004;BFA056;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0121;BFR004;BFA056;Yangochiroptera;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0122;BFR004;BFA056;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0123;BFR004;BFA056;Yangochiroptera;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0124;BFR004;BFA057;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0125;BFR004;BFA058;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus elongatus;Phyllostomus elongatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0126;BFR004;BFA058;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira cf. lilium;Sturnira cf. lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0127;BFR004;BFA058;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0128;BFR004;BFA058;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira magna;Sturnira magna;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0129;BFR004;BFA059;Yangochiroptera;Phyllostomidae;Lophostoma;Lophostoma silvicolum;Lophostoma silvicolum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0130;BFR004;BFA059;Yangochiroptera;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0131;BFR004;BFA060;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0132;BFR004;BFA061;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0133;BFR004;BFA062;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0134;BFR004;BFA063;Yangochiroptera;Phyllostomidae;Carollia;Carollia brevicauda;Carollia brevicauda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0135;BFR004;BFA064;Yangochiroptera;Phyllostomidae;Trachops;Trachops cirrhosus;Trachops cirrhosus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0136;BFR004;BFA065;Yangochiroptera;Phyllostomidae;Carollia;Carollia sp.;Carollia sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0137;BFR004;BFA066;Yangochiroptera;Phyllostomidae;Rhinophylla;Rhinophylla pumilio;Rhinophylla pumilio;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
