RefCode,Author,Year,Type,Reference,BatVouchers,FlyVouchers,AssociatedReferences
BFR098,Zamora-Mejías et al.,2020,Article,"Zamora-Mejías, D., J. B. Morales-Malacara, B. Rodríguez-Herrera, M. Ojeda, and R. A. Medellín. 2020. Does latitudinal migration represent an advantage in the decrease of ectoparasitic loads in Leptonycteris yerbabuenae (Chiroptera)? Journal of Mammalogy 101:979–989.",NA,"Morales-Malacara Collection housed in the Laboratory of Speleobiology and Acarology, Faculty of Science, National Autonomous University of Mexico, Juriquilla Campus, Queretaro, Mexico",NA
BFR099,Zarazúa-Carbajal et al.,2016,Article,"Zarazúa-Carbajal, M., R. A. Saldaña-Vázquez, C. A. Sandoval-Ruiz, K. E. Stoner, and J. Benitez-Malvido. 2016. The specificity of host-bat fly interaction networks across vegetation and seasonal variation. Parasitology Research 115:4037–4044.",NA,NA,NA
BFR100,Hoyos et al.,2022,Unpublishe data,"Hoyos, J., Montoya-Bustamante, S., Zapata-Mesa, N. Records of bat flies from a Colombian tropical rainforest","Colección de Mamíferos de la Universidad del Valle (UV), Colombia.",NA,NA
BFR101,Peña et al.,2022,Unpublishe data,"Peña, D., Montoya-Bustamante, S., Galindo-González, J. Records of bat flies from a Mexican tropical montane cloud forest",NA,NA,NA
BFR102,Chacón-Pacheco et al.,2022,Unpublishe data,"Chacón-Pacheco, J., Ballesteros-Correa, J., Pastrana-Montiel, M. R. Records of baf flies from Caribbean colombian",NA,NA,"Pastrana-Montiel, M. R., Ballesteros-Correa, J., & Chacón-Pacheco, J. (2019). First record of the parasite bat fly Basilia mimoni Theodor & Peterson, 1964 (Diptera: Nycteribiidae) in Colombia. Oecologia Australis, 23(3)."
BFR103,Aguiar & Antonini ,2011,Article,"Aguiar, L. M. de S., and Y. Antonini. 2011. Descriptive ecology of bat flies (Diptera: Hippoboscoidea)associated with vampire bats (Chiroptera: Phyllostomidae) in the cerrado of central Brazil. Memorias do Instituto Oswaldo Cruz 106:170–176.",NA,Mammal Collection at the University of Brasília.,"Aguiar, L. M. de S., W. R. de Camargo and A. de S. Portella . 2006. Occurrence of white-winge vampire bat, Diaemus youngi (Mammalia, Chiroptera), in the cerrrado of Distrito Federal, Brazil. Revista Brasilera de Zoologia 23(3):893-896."
BFR104,Almeida et al ,2010,Article,"Almeida, J., S. Silva, N. Serra-Freire, and A. Peracchi. 2010. Diversidade ectoparasitológica em morcegos na Fazenda Marambaia, Rio de Janeiro, RJ, Brasil. Chiroptera Neotropical 16:118–121.",NA,NA,NA
BFR105,Almeida et al ,2011,Article,"Almeida, J. C., S. S. P. Silva, N. M. Serra-Freire, and M. P. Valim. 2011. Ectoparasites (Insecta and Acari) Associated With Bats in Southeastern Brazil. Journal of Medical Entomology 48:753–757.",NA,NA,NA
BFR106,Chavez,2001,Book,"Chavez, J. 2001. Ectoparasites of Small Mammals of the Lower Urubamba Region, Peru. Pages 195–204 in A. Alonso, F. Dallmeier, and P. Campbell, editors. Urubamba : The Biodiversity of a Peruvian Rainforest. Smithsonian Institution, Washington, DC.",NA,NA,NA
BFR107,Anderson & Filho,2006,Article,"Anderson, R., and H. Ortêncio-Filho. 2006. Dípteros ectoparasitas (Diptera, Streblidae) de filostomídeos (Chiroptera, Mammalia) do Parque Municipal No Cinturão Verde de Cianorte, Paraná, Brasil e sua incidência ao longo das estações do ano. Chiroptera Neotropical 12:238–243.","Laboratório de Zoologia da Universidade Paranaense, campus Cianorte.","Laboratório de Zoologia da Universidade Paranaense, campus Cianorte.",NA
BFR108,Minaya et al ,2021,Article,"Minaya, D., J. Mendoza, and J. Iannacone. 2021. Fauna de ectoparásitos en el vampiro común Desmodus rotundus (Geoffroy, 1810) (Chiroptera: Phyllostomidae) de Huarochiri, Lima, y una lista de los ectoparásitos en murciélagos del Perú. Graellsia 77:e135.",NA,NA,NA
BFR109,Augustson ,1943,Article,"Augustson, G. F. 1943. A new parasitic fly from bats (Diptera: Pupipara). Bulletin of Southern California Academy of Sciences 42:52–53.",NA,"Allan Hancock foundation, University of Southern California, Los Angeles, California. ",NA
BFR110,Autino et al.,2004,Article,"Autino, A. G., G. L. Claps, and E. M. González. 2004. Nuevos registros de insectos (Diptera y Siphonaptera) ectoparásitos de murciélagos (Vespertilionidae) del norte de Uruguay. Mastozoología Neotropical 11:81–83.",Museo Nacional de Historia de Montevideo,"Anexos de la colección de mamíferos Lilli (CML) de la Facultad de Ciencias Naturales e Instituto Miguel Lillo, Universidad Nacional de Tucuman, Argentina ",NA
BFR111,Autino et al.,2014,Article,"Autino, G., G. L. Claps, and R. M. Barquez. 2014. El género Aspidoptera ( Diptera : Streblidae ) en la Argentina. Revista de la Sociedad Entomológica Argentina 73:75–79.",Colección Mamíferos Lillo (CML),"Colección de Anexos (ACML), de la Universidad Nacional de Tucumán y Fundación Miguel Lillo.",NA
BFR112,Autino et al.,2016,Article,"Autino, A. G., F. Ortiz, G. L. Claps, and J. C. Bracamonte. 2016. New host and locality records for chiropteran ectoparasites from Jujuy and Salta provinces, Argentina. Check List 12:1895.",Colección Mamíferos Lillo (CML),"Colección de Anexos (ACML), de la Universidad Nacional de Tucumán y Fundación Miguel Lillo.",NA
BFR113,Autino et al.,2018,Article,"Autino, A., I. Benedetto, A. Palmerio, and G. Claps. 2018. Streblidae (Diptera) ectoparásitos de murciélagos del AICOM Osununú/Teyú Cuaré, San Ignacio, Misiones, con la primera cita de Trichobius furmani en Argentina. Revista de la Sociedad Entomológica Argentina 77:30–35.",Colección Mamíferos Lillo (CML),"Colección de Anexos (ACML), de la Universidad Nacional de Tucumán y Fundación Miguel Lillo.",NA
BFR114,Bonifaz et al.,2020,Article,"Bonifaz, E., J. L. Mena, and R. Oporto. 2020. Moscas de murciélagos en algunas localidades de la costa peruana. Revista Peruana de Biología 27:241–250.",NA,"Departamento de Zoología del Museo de Historia Natural “Vera Alleman Haeghbaert.” (Universidad Ricardo Palma, Lima, Perú).",NA
BFR115,Brues ,1904,Article,"Brues, C. T. 1904. Notes on Trichobius and the systematic position of the Streblidae. Bulletin American Museunm of Natural History 20:131–134.",NA,NA,NA
BFR116,Camacho et al. ,2014,Article,"Alejandra Camacho, M., D. G. Tirira, C. W. Dick, and S. F. Burneo. 2014. Lophostoma carrikeri (Allen, 1910) (Chiroptera: Phyllostomidae): First confirmed records in Ecuador. Check List 10:217–220.",the Mammalogy Division of Museo de Zoología at the Pontificia Universidad Católica del Ecuador (QCA),NA,NA
BFR117,Calonge-Camargo & Perez-Torres,2018,Article,"Calonge-Camargo, B., and J. Pérez-Torres. 2018. Ectoparasites (Polyctenidae, Streblidae, Nycteribiidae) of bats (Mammalia: Chiroptera) from the Caribbean region of Colombia. Therya 9:171–178.",NA,NA,NA
BFR118,Capllonch et al.,1997,Article,"Capllonch, P., a Autino, M. Diaz, R. M. Barquez, and M. Goytia. 1997. Los mamiferos del parque biologico Sierra de San Javier, Tucuman, Argentina: Observaciones sobre su sistematica y distribucion. Mastozoologia Neotropical 4:49–71.",NA,NA,NA
