assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
21974660,10976,Phoniscus jagorii,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Phoniscus,jagorii,,,,"(Peters, 1866)",Least Concern,,3.1,Unknown,Global
21974854,136502,Histiotus laephotis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Histiotus,laephotis,,,,"Thomas, 1916",Least Concern,,3.1,Decreasing,Global
21974958,136504,Pteropus aruensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Pteropus,aruensis,,,,"Peters, 1867",Critically Endangered,D,3.1,Unknown,Global
21975053,21982,Tomopeas ravus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,MOLOSSIDAE,Tomopeas,ravus,,,,"Miller, 1900",Endangered,"B2ab(ii,iii)",3.1,Decreasing,Global
21975149,10966,Kerivoula africana,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Kerivoula,africana,,,,"Dobson, 1878",Endangered,"B2ab(iii,iv)",3.1,Decreasing,Global
21975435,21983,Tonatia bidens,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Tonatia,bidens,,,,"(Spix, 1823)",Data Deficient,,3.1,Unknown,Global
21975715,80221529,Asellia tridens,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,HIPPOSIDERIDAE,Asellia,tridens,,,," (É. Geoffroy, 1813)",Least Concern,,3.1,Stable,Global
21975955,2153,Asellia patrizii,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,HIPPOSIDERIDAE,Asellia,patrizii,,,,"De Beaux, 1931",Least Concern,,3.1,Unknown,Global
21976047,2156,Aselliscus tricuspidatus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,HIPPOSIDERIDAE,Aselliscus,tricuspidatus,,,,"(Temminck, 1835)",Least Concern,,3.1,Stable,Global
21976144,136496,Rhinolophus robinsoni,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,robinsoni,,,,"K. Andersen, 1918",Near Threatened,A2c,3.1,Decreasing,Global
