SiteCode,RefCode,Country,State,Municipality,Locality,Latitude,Longitude,Precision,Vegetation,VegType,Ecoregion,Domain,Elevation,1kmAlt,MeanAnnTemp,MeanAnnRain
BFA059,BFR004,Peru,Loreto,Maynas,"Santo Tomás, 6 km W of km I of Iquitos-Nauta Highway (District of San Juan)",-3.80968,-73.33813333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,97,26.4,2844
BFA060,BFR004,Peru,Loreto,Maynas,"Varillal, 2 km W of km 13.6 of lquitos-Nauta Highway (District of San Juan)",-3.88003,-73.36685,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,114,26.4,2817
BFA061,BFR004,Peru,Loreto,Maynas,"Varillal, 400 m W 200 m N of km 14 of Iquitos-Nauta Highway (District of San Juan)",-3.88248,-73.3548,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,115,26.4,2822
BFA062,BFR004,Peru,Loreto,Maynas,Villa del Ejército (between 28 de Julio-Freyre Ave. and Piura Street) (District of Punchana) ,-3.72763,-73.24346667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,97,26.4,2859
BFA063,BFR004,Peru,Loreto,Maynas,"Villa Victoria, INDECO (109 Pihuicho Street) (District of San Juan) ",-3.09823,-73.27741667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,141,26.2,2988
BFA064,BFR004,Peru,Loreto,Maynas,"Zungarococha, 5.2 km W of km 6 of lquitos-Nauta Highway (District of San Juan)",-3.83457,-73.36828333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,95,26.5,2830
BFA065,BFR004,Peru,Loreto,Maynas,"Zungarococha, 5.4 km W of km 6 of lquitos-Nauta Highway (District of San Juan) ",-3.83042,-73.37146667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,97,26.5,2836
BFA066,BFR004,Peru,Loreto,Maynas,"Zungarococha, 6 5 km W of km 6 of Iquitos-Nauta Highway (District of San Juan) ",-3.83398,-73.37725,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,106,26.5,2830
BFA067,BFR004,Peru,Loreto,Ibera,Tapiche River (District of Tapiche),-5.66667,-74.15,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,111,27,2258
BFA068,BFR005,Argentina,Misiones ,Candelaria,"Camping Japonés, Arroyo Yabebiry, Loreto ",-27.28333,-55.5,Not precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,92,21.1,1712
BFA069,BFR005,Argentina,Misiones,Candelaria,Candelaria,-27.46667,-55.75,Not precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,116,21,1700
BFA070,BFR005,Argentina,Misiones,Candelaria,"Candelaria, Balneario Arroyo Garupá ",-27.48333,-55.73333333,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,99,21.1,1703
BFA071,BFR005,Argentina,Misiones,Concepción,"Estancia Prates, Barra Concepción ",-28.08333,-55.53333333,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,109,20.9,1712
BFA072,BFR005,Argentina,Misiones,San Ignacio,Osununú ,-27.26667,-55.56666667,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,98,21.1,1727
BFA073,BFR005,Argentina,Misiones,Candelaria,Parque Provincial Cañadón de Profundidad ,-27.55000,-55.7,Not precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,119,20.9,1703
BFA074,BFR005,Argentina,Misiones,Apóstoles,"Parque Provincial de la Sierra “Ingeniero Agrónomo Martínez-Crovetto”, Municipio de San José, 210 m ",-27.73333,-55.55,not precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,171,20.7,1722
BFA075,BFR005,Argentina,Misiones,San Ignacio,Parque Provincial Teyú Cuaré ,-27.28333,-55.58333333,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,138,21.2,1722
BFA076,BFR005,Argentina,Misiones,Capital,Reserva Ecológica Tupá Puojhá (Fachinal) ,-27.61667,-55.71666667,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,193,20.8,1704
BFA077,BFR005,Argentina,Misiones,Concepción de la Sierra,Ruinas Santa María ,-27.88333,-55.33333333,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,194,20.7,1748
BFA078,BFR005,Argentina,Corrientes,General San Martín,Yapeyú ,-29.46667,-56.81666667,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Seasonal riverine forest,Uruguayan savanna,Atlantic Forest,NA,63,20.2,1329
BFA079,BFR006,Brazil,Minas Gerais,Belo Horizonte,the Reserve “Parque Estadual do Rio Doce” located at 210 km from Belo Horizonte,-19.64167,-42.63333333,Precise,Atlantic rainforest,Rainforest,Alto Paraná Atlantic forests,Atlantic Forest,NA,336,23.3,1164
BFA080,BFR007,Brazil,Paraíba,Santa Teresinha,Tamanduá Farm,-7.00389,-37.34388889,Precise,deciduos vegetation,Rainforest,Caatinga,Atlantic Forest,270,291,25.2,761
BFA081,BFR008,Brazil,Bahia,Bahia,Catinga dry forest,-14.07249,-42.35739,Not precise,hyperxerophilous  and hypoxerophytic vegetation and humid forest enclaves,Deciduous forest,Atlantic dry forests,Caatinga,900,835,21.5,828
BFA082,BFR009,Brazil,Mato Grosso do Sul,Aquidauana,"The Morro (Hill) do Paxixi, district of Camisão, municipality of Aquidauana",-20.45039,-55.62121389,Precise,"Cerrado vegetation, sesonal deciduous forest, and semi-deciduous forest",Semideciduos forest,Cerrado,Atlantic Forest,383,367,23.2,1451
BFA083,BFR010,Brazil,Pernambuco,Pernambuco,The Saltinho Biological Station,-8.73267,-35.173821,Not precise,Secundary forest in advanced natural regeneration,Rainforest,Pernambuco coastal forests,Atlantic Forest,NA,44,24,1884
BFA084,BFR010,Brazil,Pernambuco,Chã Grande,The agreste,-8.23923,-35.461196,Not precise,Transition vegetation between Atlantic forest and Caatinga,Rainforest,Pernambuco interior forests,Atlantic Forest,NA,462,22.1,1029
BFA085,BFR010,Brazil,Pernambuco,Pernambuco,The Catimbau National Park,-8.59230,-37.247671,Not precise,Caatinga,Rainforest,Caatinga,Atlantic Forest,NA,765,21.2,816
BFA086,BFR011,Brazil,Pará,Parauapebas,Cave in the Carajás National Forest,-6.03372,-50.16867222,Precise,NA,Savanna woodland,Xingu-Tocantins-Araguaia moist forests,Cerrado,514,558,24,1902
BFA087,BFR012,Brazil,Paraíba,João Pessoa,Mata do Buraquinho Wildlife Refuge,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA088,BFR012,Brazil,Paraíba,João Pessoa,Restinga de Cabedelo National Forest,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA089,BFR012,Brazil,Paraíba,João Pessoa,Cuiá Natural Park,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA090,BFR012,Brazil,Paraíba,João Pessoa,Arruda Câmara Zoobotanical Park,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA091,BFR012,Brazil,Paraíba,João Pessoa,Cidade Verde Municipal Forest,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA092,BFR012,Brazil,Paraíba,João Pessoa,Alto de Mateus,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA093,BFR012,Brazil,Paraíba,João Pessoa,Bairro dos Novaes,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA094,BFR012,Brazil,Paraíba,João Pessoa,Funcionários IV,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA095,BFR012,Brazil,Paraíba,João Pessoa,Jardim Veneza,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA096,BFR012,Brazil,Paraíba,João Pessoa,Paratibe,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA097,BFR012,Brazil,Paraíba,João Pessoa,Penha,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA098,BFR013,Brazil,Pernambuco,São Lourenço da Mata,Ecological Station of Tapacurá,-8.00222,-35.01833333,Precise,NA,Rainforest,Caatinga,Atlantic Forest,NA,48,25.2,1599
BFA099,BFR014,Brazil,Sergipe,Nossa Senhora do Socorra,Ibura National Forest,-10.84056,-37.14222222,Precise,"Atlantic Forest domain, with semideciduous seasonal forest formations in intermediate and advanced stages of regeneration",Coastal sandy mosaic,Pernambuco interior forests,Atlantic Forest,NA,27,25.5,1385
BFA100,BFR015,Algeria,Abadla,Abadla,Abadla,31.00231,-2.745868,Not precise,"cave, forest and urban areas",NA,North Saharan steppe and woodlands,NA,NA,581,22.1,67
BFA101,BFR015,Algeria,Seraïdi,Ain Barbar,Ain Barbar,36.99479,7.552483,Not precise,"cave, forest and urban areas",NA,Mediterranean woodlands and forests,NA,NA,103,18.4,783
BFA102,BFR015,Algeria,Ain el Berda,Ain el Berda,Ain el Berda,36.64601,7.588639,Not precise,"cave, forest and urban areas",NA,Mediterranean woodlands and forests,NA,NA,131,17.9,651
BFA103,BFR015,Algeria,Algeria,Ancienne mine Oum Tboul,Ancienne mine Oum Tboul,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA104,BFR015,Algeria,Darguina,Bir Osman,Bir Osman,36.59070,5.307093,Not precise,"cave, forest and urban areas",NA,Mediterranean conifer and mixed forests,NA,NA,970,12.4,757
BFA105,BFR015,Algeria,Algeria,Bir Ouelâ,Bir Ouelâ,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA106,BFR015,Algeria,Algeria,Boukayess,Boukayess,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA107,BFR015,Algeria,Algeria,Burgas,Burgas,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA108,BFR015,Algeria,Algeria,El Chatt,El Chatt,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA109,BFR015,Algeria,Algeria,El Oenya,El Oenya,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA110,BFR015,Algeria,Algeria,Ghar el deb,Ghar el deb,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA111,BFR015,Algeria,Algeria,Ghar el dib,Ghar el dib,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA112,BFR015,Algeria,Bouhamdane,Ghar El Djmeâ,Ghar El Djmeâ,36.50743,7.119861,Not precise,"cave, forest and urban areas",NA,Mediterranean woodlands and forests,NA,NA,1079,12.2,835
BFA113,BFR015,Algeria,Algeria,Ghar el wahch,Ghar el wahch,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA114,BFR015,Algeria,Algeria,Ghar Ghalia,Ghar Ghalia,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA115,BFR015,Algeria,Algeria,Ghar melouane,Ghar melouane,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA116,BFR015,Algeria,Algeria,Ghar sidi Mnaser,Ghar sidi Mnaser,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA117,BFR015,Algeria,Ghassira,Ghoufi,Ghoufi,35.05695,6.167282,Not precise,"cave, forest and urban areas",NA,Mediterranean woodlands and forests,NA,NA,710,16.8,228
BFA118,BFR015,Algeria,Algeria,Grotte cavallo,Grotte cavallo,28.03389,1.659627,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,17,569
BFA119,BFR015,Algeria,Algeria,Grotte du dauphin,Grotte du dauphin,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA120,BFR015,Algeria,Algeria,Grotte Lagereb,Grotte Lagereb,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA121,BFR015,Algeria,Algeria,Gunadi,Gunadi,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA122,BFR015,Algeria,Algeria,Jedi Trad,Jedi Trad,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA123,BFR015,Algeria,Bordj El Kiffan,Kazmat el wissam,Kazmat el wissam,36.73161,3.235583,Not precise,"cave, forest and urban areas",NA,Mediterranean woodlands and forests,NA,NA,19,18.2,670
BFA124,BFR015,Algeria,Algeria,Kehf Fatma Sultan,Kehf Fatma Sultan,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA125,BFR015,Algeria,Algeria,Kehf Ghalia handan,Kehf Ghalia handan,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA126,BFR015,Algeria,Algeria,Kehf Oued Zhour,Kehf Oued Zhour,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA127,BFR015,Algeria,Algeria,Kehf Sidi Boumendjel,Kehf Sidi Boumendjel,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA128,BFR015,Algeria,Algeria,Kehf Zahid aslant,Kehf Zahid aslant,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA129,BFR015,Algeria,Algeria,Khef el Dajnia,Khef el Dajnia,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA130,BFR015,Algeria,Boussemghoun,Ksar Boussemghoune,Ksar Boussemghoune,32.86785,0.023228,Not precise,"cave, forest and urban areas",NA,Mediterranean dry woodlands and steppe,NA,NA,1002,17.5,160
BFA131,BFR015,Algeria,Algeria,Les Cavités Ouled driss,Les Cavités Ouled driss,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA132,BFR015,Algeria,Algeria,Les Ruines Ain el Berda,Les Ruines Ain el Berda,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA133,BFR015,Algeria,Algeria,Oasis de Nergine,Oasis de Nergine,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA134,BFR015,Algeria,Cheraia,Oued tamanaret,Oued tamanaret,37.06063,6.513256,Not precise,"cave, forest and urban areas",NA,Mediterranean conifer and mixed forests,NA,NA,37,18.1,912
BFA135,BFR015,Algeria,Algeria,Oued Zeboudg,Oued Zeboudg,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA136,BFR015,Algeria,Ouled chebel,Ouled chebel,Ouled chebel,36.59239,2.989766,Not precise,"cave, forest and urban areas",NA,Mediterranean woodlands and forests,NA,NA,43,17.9,655
BFA137,BFR015,Algeria,Ras el Oued,Ras el Oued,Ras el Oued,35.94026,5.028321,Not precise,"cave, forest and urban areas",NA,Mediterranean woodlands and forests,NA,NA,1112,12.9,402
BFA138,BFR015,Algeria,Algeria,Ripisylve ghrara,Ripisylve ghrara,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA139,BFR015,Algeria,Algeria,Ruines du chenal,Ruines du chenal,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA140,BFR015,Algeria,Oum El Bouaghi,Sidi Rghis,Sidi Rghis,35.90108,7.012213,Not precise,"cave, forest and urban areas",NA,Mediterranean woodlands and forests,NA,NA,939,13.3,475
BFA141,BFR015,Algeria,Taghit,Taghit (Sidi Bayazit,Taghit (Sidi Bayazit,30.87922,-2.010365,Not precise,"cave, forest and urban areas",NA,North Saharan steppe and woodlands,NA,NA,616,21.8,88
BFA142,BFR015,Algeria,Oum Zebed,Taïbet,Taïbet,33.10074,6.413415,Not precise,"cave, forest and urban areas",NA,North Saharan steppe and woodlands,NA,NA,101,21.5,66
BFA143,BFR015,Algeria,Algeria,Tunnel du trio,Tunnel du trio,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA144,BFR015,Algeria,Hammamet,Youkous,Youkous,35.41722,7.963025,Not precise,"cave, forest and urban areas",NA,Mediterranean dry woodlands and steppe,NA,NA,990,14.9,388
BFA145,BFR015,Algeria,Algeria,Zawia tahtania,Zawia tahtania,28.03389,1.659626,Not precise,"cave, forest and urban areas",NA,Sahara desert,NA,NA,548,23.3,22
BFA146,BFR016,Brazil,São Paulo,"Caieiras, Mairiporã, Guarulhos, and São Paulo",The Parque Estadual da Cantareira,-23.40000,-46.59166667,Precise,Atlantic rain forest,Rainforest,Serra do Mar coastal forests,Atlantic Forest,1250,858,17.1,1432
BFA147,BFR017,Brazil,Sergipe,Itaporanga d’Ajuda,Reserva Particular do Patrimônio Natural do Caju RPPN do Caju,-11.11990,-37.184222,Precise,Atlantic Forest associated with restinga habitats,Coastal sandy mosaic,Pernambuco interior forests,Atlantic Forest,NA,19,25.4,1428
BFA148,BFR018,Brazil,Sergipe,Sergipe,Serra de Itabaiana National Park (PNSI),-10.769095,-37.33692,Precise,"Forest areas, natural open areas and disturbed open areas",Coastal sandy mosaic,Caatinga,Atlantic Forest,NA,193,24,1297
BFA149,BFR018,Brazil,Sergipe,Capela,Wildlife Refuge Mata do Junco (RVSMJ),-10.48333333,-36.96667,Precise,"Patches with different arboreal strata, intensive logging and monocultivo of sugar cane",Coastal sandy mosaic,Pernambuco interior forests,Atlantic Forest,NA,138,25.1,1128
BFA150,BFR019,Mexico,Yucatan,"Buctzotz, Espitia and Tunkas","Buctzotz, Espitia and Tunkas",20.83333,-87.83333333,Precise,man made pasture,Semideciduos forest,Yucatán dry forests,Mesoamerica,NA,23,25.2,1175
BFA151,BFR019,Mexico,Yucatan,"Buctzotz, Espitia and Tunkas","Buctzotz, Espitia and Tunkas",21.33333,-89,Not precise,Tropical semi-deciduos forest,Semideciduos forest,Yucatán dry forests,Mesoamerica,NA,7,25.7,755
BFA152,BFR020,Madagascar,Antananarivo,Antananarivo,Angavobe,-18.91805,47.9436,Precise,NA,NA,Madagascar lowland forests,NA,NA,1229,19.2,1716
BFA153,BFR020,Madagascar,Antananarivo,Antananarivo,Angavokely,-18.93245,47.757417,Precise,NA,NA,Madagascar subhumid forests,NA,NA,1420,16.6,1383
BFA154,BFR021,Brazil,Rio Grande do Sul,Santa Maria,Morro do Elefante,-29.66667,-53.71666667,Precise,Atlantic forest,Rainforest,Alto Paraná Atlantic forests,Atlantic Forest,330.5,289,18.4,1701
BFA155,BFR022,Canada,British Columbia,Southern interior British Columbia,West Arm Demonstration Forest and Pend d'Oreille Valley,49.33333,-117.2666667,Precise,NA,NA,Okanagan dry forests,NA,NA,1191,5.2,827
BFA156,BFR022,Canada,British Columbia,Southern interior British Columbia,Okanagan Valley,49.13333,-119.5,Precise,NA,NA,Okanagan dry forests,NA,NA,425,9,292
BFA157,BFR023,Mexico,Chiapas,Tapachula,Finca San Carlos,15.11756,-92.22786111,Precise,Montain rain forest with coffee plantations,Seasonal riverine forest,Sierra Madre de Chiapas moist forests,Mesoamerica,1100,1132,21.7,3861
BFA085,BFR024,Brazil,Pernambuco,Pernambuco,Catimbau National Park (CNP),-8.59230,-37.247671,Not precise,NA,Rainforest,Caatinga,Atlantic Forest,NA,765,21.2,816
BFA158,BFR025,Mexico,Veracruz,Tlalnelhuayocan,Rancho “La Luciérnaga”,19.52025,-96.98830556,Precise,Bosque Mesofilo de Montaña,Rainforest,Petén-Veracruz moist forests,Mesoamerica,1600,1493,17.8,1708
BFA159,BFR026,Mexico,Veracruz,Las Choapas,Cueva Reyes,17.26402,-93.86988333,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,154,25.8,3172
BFA160,BFR026,Mexico,Veracruz,Las Choapas,Desengaño,17.32340,-93.9769,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,143,24.8,3426
BFA161,BFR026,Mexico,Veracruz,Las Choapas,Jaguar,17.20000,-94.0424,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,488,23.6,2660
BFA162,BFR026,Mexico,Veracruz,Las Choapas,Primitivo R. Valencia,17.26402,-93.86988333,Precise,Acahual de selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,154,25.8,3172
BFA163,BFR026,Mexico,Veracruz,Las Choapas,Rancho El Saguayo,17.85105,-94.1086,Precise,Plantación de hule,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,32,25.7,2480
BFA164,BFR026,Mexico,Veracruz,Las Choapas,Rancho Santa Cruz,17.77990,-94.11633333,Precise,Plantación de hule,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,84,25.5,2546
BFA165,BFR026,Mexico,Veracruz,Hidalgotitlán,El Fortuño,17.27812,-94.65205,Precise,Acahual de selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,115,25.2,3602
BFA166,BFR026,Mexico,Veracruz,Uxpanapa,Álvaro Obregón,17.29325,-94.38706667,Precise,Plantación de hule,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,105,25.5,3779
BFA167,BFR026,Mexico,Veracruz,Uxpanapa,Arroyo Zarzo,17.20195,-94.47378333,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,254,23.9,3200
BFA168,BFR026,Mexico,Veracruz,Uxpanapa,Benito Juárez,17.45038,-94.31735,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,84,25.6,3233
BFA169,BFR026,Mexico,Veracruz,Uxpanapa,Congregación L. Tamayo,17.17307,-94.01021389,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,780,22.6,1942
BFA170,BFR026,Mexico,Veracruz,Uxpanapa,Cueva de la Virgen,17.44652,-94.30925,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,106,25.5,3293
BFA171,BFR026,Mexico,Veracruz,Uxpanapa,Cueva Guillén,17.27490,-94.48306667,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,97,25.4,3764
BFA172,BFR026,Mexico,Veracruz,Uxpanapa,Poblado 11-Cueva,17.25715,-94.29208333,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,69,25.7,3961
BFA173,BFR026,Mexico,Veracruz,Uxpanapa,Poblado 11-Hular,17.24572,-94.28456667,Precise,Plantación de hule,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,79,25.7,4004
BFA174,BFR026,Mexico,Veracruz,Uxpanapa,La Cuchilla,17.38548,-94.41838333,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,169,25.3,3442
BFA175,BFR026,Mexico,Veracruz,Uxpanapa,La Joya,17.21290,-94.28498333,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,255,24.7,3865
BFA176,BFR026,Mexico,Veracruz,Uxpanapa,Liberales,17.29535,-94.1574,Precise,Acahual de selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,149,25.3,4066
BFA177,BFR026,Mexico,Veracruz,Uxpanapa,Nuevo Córdoba,17.29535,-94.07461667,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,467,23.5,2845
BFA178,BFR026,Mexico,Veracruz,Uxpanapa,Plan de Arroyo,17.23575,-94.63351667,Precise,Plantación de hule,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,88,25.3,3716
BFA179,BFR026,Mexico,Veracruz,Uxpanapa,Poblado 12-Horqueta,17.22077,-94.20563333,Precise,Plantación de hule,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,74,25.8,4076
BFA180,BFR026,Mexico,Veracruz,Uxpanapa,Progreso-Chapultepec,17.38950,-94.06361667,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,93,25.5,3507
BFA181,BFR026,Mexico,Veracruz,Uxpanapa,Río Grande,17.27328,-94.36215,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,57,25.7,3812
BFA182,BFR026,Mexico,Veracruz,Uxpanapa,Úrsulo Galván,17.22577,-94.48468333,Precise,Acahual de selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,208,24.8,3698
BFA183,BFR027,Mexico,Yucatan,Huhı´,Cenote Usil,20.70524,-89.20096667,Precise,Selva baja y media caducifolia,Semideciduos forest,Yucatán dry forests,Mesoamerica,NA,24,26.1,1089
BFA184,BFR027,Mexico,Yucatan,Homún,Cenote Acula,20.71451,-89.25430833,Precise,Selva baja y media caducifolia,Semideciduos forest,Yucatán dry forests,Mesoamerica,NA,17,26.1,1080
BFA185,BFR027,Mexico,Yucatan,Homún,Ejido Homu´ n,20.77234,-89.26692222,Precise,Selva baja y media caducifolia,Semideciduos forest,Yucatán dry forests,Mesoamerica,NA,21,26,1054
