SiteCode,RefCode,Country,State,Municipality,Locality,Latitude,Longitude,Precision,Vegetation,VegType,Ecoregion,Domain,Elevation,1kmAlt,MeanAnnTemp,MeanAnnRain
BFA525,BFR142,Croatia,Croatia,Croatia,Karin Gornji,44.135414,15.632886,Not precise,NA,NA,Illyrian deciduous forests,NA,NA,12,14.1,958
BFA526,BFR142,Croatia,Croatia,Croatia,Kijevo,43.978878,16.356945,Not precise,NA,NA,Illyrian deciduous forests,NA,NA,476,11.6,1021
BFA527,BFR142,Croatia,Croatia,Croatia,Drnis,43.860326,16.155926,Not precise,NA,NA,Illyrian deciduous forests,NA,NA,295,13,958
BFA528,BFR142,Croatia,Croatia,Croatia,Rumin,43.775959,16.635767,Not precise,NA,NA,Illyrian deciduous forests,NA,NA,313,12.5,1001
BFA529,BFR142,Slovakia,Slovakia,Slovakia,Chvalovska jaskyna,48.519444,20.157222,Not precise,NA,NA,Pannonian mixed forests,NA,NA,266,8.7,586
BFA530,BFR142,Slovakia,Slovakia,Slovakia,Nandraz Bradlo,48.669028,19.699025,Not precise,NA,NA,Carpathian montane forests,NA,NA,987,5.2,894
BFA531,BFR142,Slovakia,Slovakia,Slovakia,Drienovecka jaskyna,48.624373,20.951928,Not precise,NA,NA,Pannonian mixed forests,NA,NA,247,8.7,606
BFA532,BFR143,Switzerland,Vaud,Lausanne,Univ. of Lausanne into the Lake of Geneva.,46.52059,6.580118,Not precise,NA,NA,Western European broadleaf forests,NA,NA,379,9.8,895
BFA533,BFR144,Mexico,Sonora,Pinacate,Pinacate,31.64766667,-113.4815278,Precise,NA,Semi-desert and desert,Sonoran desert,Neartic Mexico,NA,189,21.2,108
BFA534,BFR144,Mexico,Sonora,Hermosillo,Hermosillo,29.59052778,-110.80275,Precise,NA,Semi-desert and desert,Sonoran desert,Neartic Mexico,NA,483,22.1,396
BFA535,BFR144,Mexico,Guerrero,Colotlipa,Colotlipa,17.26163889,-99.09058333,Precise,NA,Mixed forest,Sierra Madre del Sur pine-oak forests,Mesoamerica,NA,1284,22.6,1567
BFA536,BFR144,Mexico,Chiapas,Laguitos,Laguitos,16.78001944,-93.14886111,Precise,NA,Mixed forest,Chiapas Depression dry forests,Mesoamerica,NA,848,23.4,974
BFA537,BFR144,Mexico,Morelos,El Salitre,El Salitre,18.78972222,-99.15333333,Precise,NA,Semi-arid thorny woodland,Balsas dry forests,Mesoamerica,NA,1647,21.2,993
BFA274,BFR144,Mexico,Jalisco,Chamela,Chamela,19.526772,-105.073794,Not precise,NA,Semi-arid thorny woodland,Jalisco dry forests,Mesoamerica,NA,9,26.5,720
BFA274,BFR145,Mexico,Jalisco,Chamela,Chamela-Cuixmala Biosphere Reserve (CCBR) ,19.526772,-105.073794,Not precise,dry forest and riparian forest,Semi-arid thorny woodland,Jalisco dry forests,Mesoamerica,NA,9,26.5,720
BFA538,BFR146,Colombia,Valle del Cauca,Buenaventura,Reserva Natural Quebrada Pericos,3.848805556,-76.78722222,Precise,Tropical wet forest,Rainforest,Cauca Valley montane forests,Mesoamerica,NA,453,24.9,2644
BFA539,BFR147,Mexico,Veracruz,Tlalnelhueayocan,Agüita Fría,19.52128,-96.99019,Precise,Tropical montane cloud forest,Cloud Forest,Oaxacan montane forests,Mesoamerica,NA,1519,NA,NA
BFA540,BFR147,Mexico,Veracruz,Coatepec,An abandoned shaded coffee plantation in “Consolapa”,19.48538,-96.96138,Precise,Tropical montane cloud forest,Cloud Forest,Oaxacan montane forests,Mesoamerica,NA,1282,NA,NA
BFA498,BFR147,Mexico,Veracruz,Xalapa,"Santuario del Bosque de Niebla, INECOL A.C.",19.51363,-96.94315,Precise,Tropical montane cloud forest,Cloud Forest,Oaxacan montane forests,Mesoamerica,NA,1341,NA,NA
BFA541,BFR148,Colombia,Magdalena,Calabazo,Calabazo,11.28448,-73.99206,Precise,Tropical dry forest,Semideciduos forest,Guajira-Barranquilla xeric scrub,Caribbean,135.6,136,27.5,1163
BFA542,BFR148,Colombia,Córdoba,Tierralta,"Cajón del Diablo, Finca El Danubio",8.28878,-75.99408,Precise,Tropical dry forest,Rainforest,Magdalena-Urabá moist forests,Mesoamerica,47.9,49,27.1,1444
BFA543,BFR148,Colombia,Córdoba,Tierralta,Estación Ecológica Las Guartinajas,8.06241,-76.15948,Precise,Tropical rainforest,Rainforest,Magdalena-Urabá moist forests,Mesoamerica,65.3,70,26.9,1989
BFA544,BFR148,Colombia,Córdoba,San Andres de Sotavento,"Roma, Los Carretos",9.22717,-75.46544,Precise,Tropical dry forest,Floodplain forest,Magdalena-Urabá moist forests,Caribbean,137.6,140,26.9,1209
BFA545,BFR148,Colombia,Córdoba,Tierralta,"Tuis Tuis, Finca El Tutifruti",8.04333,-76.10031,Precise,Tropical rainforest,Rainforest,Magdalena-Urabá moist forests,Mesoamerica,127.6,115,26.5,2009
BFA546,BFR148,Colombia,Córdoba,Monteria,"Universidad de Córdoba, Montería",8.79250,-75.86383,Precise,semi-urban area,Deciduous forest,Magdalena-Urabá moist forests,Caribbean,17.6,16,27.5,1257
BFA547,BFR148,Colombia,Córdoba,San Andres de Sotavento,Los Carretos,9.23033,-75.48058,Precise,Tropical dry forest,Floodplain forest,Magdalena-Urabá moist forests,Caribbean,150,153,26.8,1216
BFA548,BFR148,Colombia,Córdoba,San Andres de Sotavento,"Hoja Ancha, Calle Larga",9.18639,-75.49447,Precise,Tropical dry forest,Floodplain forest,Magdalena-Urabá moist forests,Caribbean,115.2,112,27.1,1238
BFA549,BFR148,Colombia,Córdoba,Tierralta,"Alto Quimarí, La Ossa - Cerro la Divisa",8.01985,-76.29374,Precise,Tropical rainforest,Rainforest,Magdalena-Urabá moist forests,Mesoamerica,206.1,220,26.1,2140
BFA550,BFR148,Colombia,Córdoba,Tierralta,"Frasquillo, Sector carretera-Los Chibolos, Tierralta (3,4,1)",7.93531,-76.21269,Precise,NA,Rainforest,Magdalena-Urabá moist forests,Mesoamerica,NA,245,26,2255
BFA551,BFR148,Colombia,Córdoba,Tierralta,Chibogadó Alto,7.97790,-76.19457,Precise,Tropical rainforest,Rainforest,Northwestern Andean montane forests,Mesoamerica,190.7,190,26.3,2156
BFA552,BFR148,Colombia,Córdoba,Tierralta,Chibogadó Medio,7.96330,-76.21680,Precise,Tropical rainforest,Rainforest,Northwestern Andean montane forests,Mesoamerica,262.7,299,26,2211
BFA553,BFR148,Colombia,Córdoba,Tierralta,"Quebrada Linda, Batata, La Esperanza",8.04308,-76.28683,Precise,Tropical rainforest,Rainforest,Magdalena-Urabá moist forests,Mesoamerica,484.7,475,24.9,2144
BFA554,BFR148,Colombia,Córdoba,Tierralta,Puerto Nuevo,8.04308,-76.28683,Precise,Tropical rainforest,Rainforest,Magdalena-Urabá moist forests,Mesoamerica,484.7,475,24.9,2144
BFA555,BFR148,Colombia,Córdoba,Tierralta,"La Ossa, Don Libardo",8.04308,-76.28683,Precise,Tropical rainforest,Rainforest,Magdalena-Urabá moist forests,Mesoamerica,484.7,475,24.9,2144
BFA556,BFR148,Colombia,Sucre,La Unión,Finca Buenos Aires,8.86667,-75.25000,Precise,Tropical dry forest,Semideciduos forest,Magdalena-Urabá moist forests,Caribbean,34,34,27.7,1528
