SiteCode,RefCode,YearStart,YearFinish,Duration,SamplingEffort,BatEcologicalScale,FlyEcologicalScale,BatSamplingMethod,SamplingNights,SamplingHours,SamplingMistnets,SamplingStrata,SamplingSeason,Observation
BFA146,BFR025,2010,2012,19,NA,all,all,mist nets,NA,NA,NA,U,NA,NA
BFA147,BFR025,2010,2012,19,NA,all,all,mist nets,NA,NA,NA,U,NA,NA
BFA148,BFR026,2016,2017,7,30240,all,all,mist nets,21,6,10,NA,NA,NA
BFA149,BFR026,2016,2017,9,14040,all,all,mist nets,18,6,10,NA,NA,NA
BFA150,BFR027,1993,2018,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA151,BFR027,1993,2018,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA152,BFR027,1993,2018,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA153,BFR027,1993,2018,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA154,BFR027,1993,2018,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA155,BFR028,2012,2013,21,33210,all,all,mist nets,54,5,10,NA,NA,NA
BFA156,BFR029,2006,2007,14,16140,all,all,mist nets,NA,6,NA,U,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA157,BFR030,1994,1999,NA,NA,all,all,NA,NA,NA,NA,NA,NA,NA
BFA158,BFR031,2006,2008,2,NA,Single,all,NA,NA,NA,NA,NA,NA,NA
BFA159,BFR032,2011,2012,15,NA,leafnosed,all,mist nets,36,NA,NA,NA,NA,NA
BFA160,BFR033,2015,2016,12,23828,all,all,mist nets,36,6,4,NA,NA,NA
BFA161,BFR034,1990,1991,13,58032,leafnosed,all,mist nets,NA,12,5,NA,NA,NA
BFA162,BFR035,2013,2014,9,NA,all,all,mist nets,NA,6,4,U,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA163,BFR036,2004,2005,7,38707.2,leafnosed,all,mist nets,2,6,4,NA,NA,NA
BFA164,BFR037,2008,2008,1,1080,Single,all,mist nets,1,2,1,U,NA,NA
BFA165,BFR037,2008,2008,1,4320,Single,all,mist nets,4,2,1,U,NA,NA
BFA166,BFR038,2012,2012,1,NA,Single,all,mist nets,NA,NA,3,U,NA,NA
BFA167,BFR038,2012,2012,1,NA,Single,all,mist nets,NA,NA,1,U,NA,NA
BFA168,BFR039,2015,2015,1,NA,all,all,mist nets,14,NA,4-9,U,NA,NA
BFA169,BFR040,2004,2005,12,NA,all,all,mist nets,36,12,2,U,NA,NA
BFA170,BFR041,2007,2009,22,441600,all,all,mist nets,16,6,14,U,NA,NA
BFA171,BFR042,2012,2013,4,2073600,all,all,mist nets,36,4,20,U,NA,Authors stated that records corresponding to possible accidental contamination were removed
BFA172,BFR043,2001,2003,18,737800,all,all,mist nets,NA,NA,NA,NA,NA,NA
