SiteCode,RefCode,YearStart,YearFinish,Duration,SamplingEffort,BatEcologicalScale,FlyEcologicalScale,BatSamplingMethod,SamplingNights,SamplingHours,SamplingMistnets,SamplingStrata,SamplingSeason,Observation
BFA279,BFR079,2011,2011,5,5184000,all,all,mist net,60,12,12,U,NA,NA
BFA280,BFR080,NA,NA,NA,NA,Single,all,mist net,5,NA,6,U,NA,NA
BFA281,BFR081,2003,2003,1,NA,all,all,mist net,NA,NA,NA,U,NA,NA
BFA282,BFR082,2008,2009,6,NA,all,all,mist net,6,11.3,32,U,NA,NA
BFA283,BFR083,2000,2013,9,NA,Single,all,mist net,NA,NA,8,U,Dry and Rainy,NA
BFA284,BFR084,2008,2009,7,NA,all,all,mist net,2.5,12,4,U,NA,NA
BFA285,BFR085,2007,2008,12,497664,all,all,mist net,24,6,4,NA,NA,NA
BFA103,BFR086,2009,2010,8,1152000,all,all,mist net,16,12,10,NA,NA,NA
BFA286,BFR087,2012,2012,4,77760,all,all,mist net,3,6,5,U,NA,NA
BFA287,BFR088,2001,2001,5,NA,all,all,mist net,NA,2,NA,U,NA,NA
BFA288,BFR089,2013,2013,7,13608,all,all,mist net,3,7,1,NA,NA,NA
BFA289,BFR090,2016,2018,24,15840,all,all,mist net,2,11,2,NA,NA,NA
BFA290,BFR091,2011,2011,7,NA,all,all,mis net,NA,6,NA,NA,NA,NA
BFA291,BFR092,2016,2016,,NA,all,all,mis net,27,8.5,10,NA,"warm, rainy and cold",NA
BFA292,BFR092,2016,2016,,NA,all,all,mis net,27,9,10,NA,"warm, rainy and cold",NA
BFA293,BFR093,2017,2018,NA,NA,all,all,mist net,NA,NA,10,NA,"dry, rainy and cold season",NA
BFA294,BFR093,2017,2018,NA,NA,all,all,mist net,NA,NA,10,NA,"dry, rainy and cold season",NA
BFA295,BFR093,2017,2018,NA,NA,all,all,mist net,NA,NA,10,NA,"dry, rainy and cold season",NA
BFA296,BFR094,2014,2017,20,1150848,all,all,mist net,74,6,6,U,NA,NA
BFA297,BFR094,2014,2017,20,1150848,all,all,mist net,74,6,6,U,NA,NA
BFA298,BFR094,2014,2017,20,1150848,all,all,mist net,74,6,6,U,NA,NA
BFA299,BFR095,2017,2018,3,NA,Single,all,mist net,3,6,NA,U,NA,NA
