BatPopulationCode;RefCode;SiteCode;BatFamily;BatGenus;BatSpecies;CurrentBatSpecies;BatSubspecies;BatRoost;BatCaptureNumber;BatMarks;BatFemales;BatMales;BatJuvenile;BatAdult;BatLactatingFemales;BatNonreproductiveFemales;BatPregnantFemales;BatNonreproductiveMales;BatScrotalTestesMales;Observations
BFBPOP0001;BFR001;BFA001;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;NA;Cave Human-madestructure Treecavity;160;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0002;BFR002;BFA002;Phyllostomidae;Anoura;Anoura carishina;Anoura latidens;NA;Cave Treecavity;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0003;BFR002;BFA002;Phyllostomidae;Artibeus;Artibeus lituratus;Artibeus lituratus;NA;Cave Foliage Human-madestructure Treecavity;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0004;BFR002;BFA002;Phyllostomidae;Carollia;Carollia castanea;Carollia castanea;NA;Cave Treecavity;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0005;BFR002;BFA002;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;Cave Foliage Human-madestructure Treecavity;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0006;BFR002;BFA002;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;Cave Treecavity;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0007;BFR002;BFA002;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;Cave Foliage Human-madestructure Termitenest Treecavity;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0008;BFR002;BFA002;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira giannae;NA;Foliage;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0009;BFR003;BFA003;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0010;BFR003;BFA003;Phyllostomidae;Chrotopterus;Chrotopterus auritus;Chrotopterus auritus;NA;Cave;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0011;BFR003;BFA003;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0012;BFR003;BFA003;Vespertilionidae;Eptesicus;Eptesicus furinalis;Eptesicus furinalis;NA;Cave Human-madestructure;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0013;BFR003;BFA003;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0014;BFR003;BFA004;Phyllostomidae;Diaemus;Diaemus youngi;Diaemus youngii;NA;Cave Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0015;BFR003;BFA005;Vespertilionidae;Eptesicus;Eptesicus furinalis;Eptesicus furinalis;NA;Cave Human-madestructure;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0016;BFR003;BFA005;Vespertilionidae;Myotis;Myotis albescens;Myotis albescens;NA;Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0017;BFR003;BFA005;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0018;BFR003;BFA006;Vespertilionidae;Eptesicus;Eptesicus furinalis;Eptesicus furinalis;NA;Cave Human-madestructure;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0019;BFR003;BFA006;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0020;BFR003;BFA007;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0021;BFR003;BFA007;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0022;BFR003;BFA008;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0023;BFR003;BFA009;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0024;BFR003;BFA010;Vespertilionidae;Myotis;Myotis keaysi;Myotis keaysi;NA;Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0025;BFR003;BFA011;Phyllostomidae;Anoura;Anoura caudifer;Anoura caudifer;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0026;BFR003;BFA011;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0027;BFR003;BFA011;Vespertilionidae;Eptesicus;Eptesicus furinalis;Eptesicus furinalis;NA;Cave Human-madestructure;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0028;BFR003;BFA011;Vespertilionidae;Myotis;Myotis albescens;Myotis albescens;NA;Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0029;BFR003;BFA011;Noctilionidae;Noctilio;Noctilio leporinus;Noctilio leporinus;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0030;BFR003;BFA011;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0031;BFR003;BFA011;Phyllostomidae;Sturnira;Sturnira oporaphillum;Sturnira oporaphillum;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0032;BFR003;BFA012;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0033;BFR003;BFA013;Vespertilionidae;Myotis;Myotis albescens;Myotis albescens;NA;Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0034;BFR003;BFA014;Vespertilionidae;Histiotus;Histiotus macrotus;Histiotus macrotus;NA;Cave Human-madestructure;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0035;BFR003;BFA015;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira lilium;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0036;BFR003;BFA016;Vespertilionidae;Myotis;Myotis levis;Myotis levis;NA;Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0037;BFR003;BFA017;Phyllostomidae;Artibeus;Artibeus fimbriatus;Artibeus fimbriatus;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0038;BFR003;BFA018;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0039;BFR003;BFA018;Vespertilionidae;Eptesicus;Eptesicus furinalis;Eptesicus furinalis;NA;Cave Human-madestructure;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0040;BFR003;BFA019;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0041;BFR003;BFA019;Vespertilionidae;Myotis;Myotis riparius;Myotis riparius;NA;Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0042;BFR003;BFA020;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0043;BFR003;BFA020;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0044;BFR003;BFA021;Vespertilionidae;Myotis;Myotis nigricans;Myotis nigricans;NA;Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0045;BFR003;BFA022;Molossidae;Tadarida;Tadarida brasiliensis;Tadarida brasiliensis;NA;Cave Human-madestructure;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0046;BFR003;BFA023;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0047;BFR003;BFA024;Noctilionidae;Noctilio;Noctilio leporinus;Noctilio leporinus;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0048;BFR003;BFA025;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0049;BFR004;BFA026;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;Cave Foliage Human-madestructure Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0050;BFR004;BFA026;Phyllostomidae;Tonatia;Tonatia saurophila;Tonatia maresi;NA;Cave Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0051;BFR004;BFA026;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;Cave Foliage Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0052;BFR004;BFA026;Phyllostomidae;Trinycteris;Trinycteris nicefori;Trinycteris nicefori;NA;Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0053;BFR004;BFA026;Phyllostomidae;Micronycteris;Micronycteris megalotis;Micronycteris megalotis;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0054;BFR004;BFA026;Phyllostomidae;Sturnira;Sturnira magna;Sturnira magna;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0055;BFR004;BFA026;Phyllostomidae;Vampyriscus;Vampyriscus bidens;Vampyriscus bidens;NA;Tent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0056;BFR004;BFA026;Phyllostomidae;Lophostoma;Lophostoma silvicolum;Lophostoma silvicola;NA;Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0057;BFR004;BFA027;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;Cave Foliage Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0058;BFR004;BFA027;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira giannae;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0059;BFR004;BFA027;Phyllostomidae;Uroderma;Uroderma bilobatum;Uroderma bilobatum;NA;Human-madestructure Tent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0060;BFR004;BFA028;Phyllostomidae;Sturnira;Sturnira cf. lilium;Sturnira cf. giannae;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0061;BFR004;BFA028;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira giannae;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0062;BFR004;BFA028;Phyllostomidae;Sturnira;Sturnira sp.;Sturnira sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0063;BFR004;BFA028;Phyllostomidae;Mesophylla;Mesophylla macconnelli;Mesophylla macconnelli;NA;Foliage Tent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0064;BFR004;BFA029;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;Cave Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0065;BFR004;BFA030;Vespertilionidae;Myotis;Myotis simus;Myotis simus;NA;Cave;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0066;BFR004;BFA031;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;Cave Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0067;BFR004;BFA032;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;Cave Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0068;BFR004;BFA032;Noctilionidae;Noctilio;Noctilio albiventris;Noctilio albiventris;NA;Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0069;BFR004;BFA033;Phyllostomidae;Phyllostomus;Phyllostomus elongatus;Phyllostomus elongatus;NA;Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0070;BFR004;BFA033;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;Cave Foliage Human-madestructure Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0071;BFR004;BFA033;Phyllostomidae;Tonatia;Tonatia saurophila;Tonatia maresi;NA;Cave Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0072;BFR004;BFA033;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;Cave Foliage Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0073;BFR004;BFA033;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira giannae;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0074;BFR004;BFA033;Phyllostomidae;Sturnira;Sturnira tildae;Sturnira tildae;NA;Rivercliff;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0075;BFR004;BFA033;Phyllostomidae;Dermanura;Dermanura gnomus;Artibeus gnomus;NA;Tent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0076;BFR004;BFA034;Phyllostomidae;Platyrrhinus;Platyrrhinus brachycephalus;Platyrrhinus brachycephalus;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0077;BFR004;BFA035;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0078;BFR004;BFA036;Phyllostomidae;Artibeus;Artibeus lituratus;Artibeus lituratus;NA;Cave Foliage Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0079;BFR004;BFA037;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;Cave Foliage Human-madestructure Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0080;BFR004;BFA037;Phyllostomidae;Sturnira;Sturnira sp.;Sturnira sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0081;BFR004;BFA037;Phyllostomidae;Dermanura;Dermanura anderseni;Artibeus anderseni;NA;Tent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0082;BFR004;BFA038;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0083;BFR004;BFA039;Phyllostomidae;Carollia;Carollia brevicauda;Carollia brevicauda;NA;Cave Foliage Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0084;BFR004;BFA039;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira giannae;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0085;BFR004;BFA039;Phyllostomidae;Sturnira;Sturnira sp.;Sturnira sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0086;BFR004;BFA039;Phyllostomidae;Rhinophylla;Rhinophylla fischerae;Rhinophylla fischerae;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0087;BFR004;BFA040;Molossidae;Molossus;Molossus rufus;Molossus rufus;NA;Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0088;BFR004;BFA041;Noctilionidae;Noctilio;Noctilio albiventris;Noctilio albiventris;NA;Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0089;BFR004;BFA042;Phyllostomidae;Artibeus;Artibeus lituratus;Artibeus lituratus;NA;Cave Foliage Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0090;BFR004;BFA043;Phyllostomidae;Artibeus;Artibeus lituratus;Artibeus lituratus;NA;Cave Foliage Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0091;BFR004;BFA044;Phyllostomidae;Platyrrhinus;Platyrrhinus brachycephalus;Platyrrhinus brachycephalus;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0092;BFR004;BFA045;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0093;BFR004;BFA045;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0094;BFR004;BFA046;Phyllostomidae;Phyllostomus;Phyllostomus elongatus;Phyllostomus elongatus;NA;Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0095;BFR004;BFA046;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;Cave Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0096;BFR004;BFA047;Phyllostomidae;Artibeus;Artibeus sp.;Artibeus sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0097;BFR004;BFA047;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0098;BFR004;BFA047;Phyllostomidae;Sturnira;Sturnira tildae;Sturnira tildae;NA;Rivercliff;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0099;BFR004;BFA048;Phyllostomidae;Lophostoma;Lophostoma brasiliense;Lophostoma brasiliense;NA;Human-madestructure Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0100;BFR004;BFA048;Phyllostomidae;Lophostoma;Lophostoma silvicolum;Lophostoma silvicola;NA;Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0101;BFR004;BFA048;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;Cave Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0102;BFR004;BFA049;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;Cave Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0103;BFR004;BFA049;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;Cave Foliage Human-madestructure Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0104;BFR004;BFA049;Phyllostomidae;Lophostoma;Lophostoma silvicolum;Lophostoma silvicola;NA;Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0105;BFR004;BFA050;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;Cave Foliage Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0106;BFR004;BFA050;Phyllostomidae;Mimon;Mimon crenulatum;Gardnerycteris crenulatum;NA;Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0107;BFR004;BFA050;Noctilionidae;Noctilio;Noctilio leporinus;Noctilio leporinus;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0108;BFR004;BFA051;Phyllostomidae;Sturnira;Sturnira sp.;Sturnira sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0109;BFR004;BFA051;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;Cave Foliage Human-madestructure Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0110;BFR004;BFA052;Phyllostomidae;Sturnira;Sturnira sp.;Sturnira sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0111;BFR004;BFA053;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;Cave Foliage Human-madestructure Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0112;BFR004;BFA053;Phyllostomidae;Tonatia;Tonatia saurophila;Tonatia maresi;NA;Cave Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0113;BFR004;BFA053;Phyllostomidae;Glossophaga;Glossophaga soricina;Glossophaga soricina;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0114;BFR004;BFA053;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;Cave Foliage Human-madestructure Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0115;BFR004;BFA054;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;Cave Foliage Human-madestructure Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0116;BFR004;BFA054;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0117;BFR004;BFA055;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0118;BFR004;BFA055;Phyllostomidae;Glossophaga;Glossophaga soricina;Glossophaga soricina;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0119;BFR004;BFA056;Phyllostomidae;Tonatia;Tonatia saurophila;Tonatia maresi;NA;Cave Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0120;BFR004;BFA056;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;Cave Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0121;BFR004;BFA056;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0122;BFR004;BFA056;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0123;BFR004;BFA056;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;Cave Foliage Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0124;BFR004;BFA057;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;Cave Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0125;BFR004;BFA058;Phyllostomidae;Phyllostomus;Phyllostomus elongatus;Phyllostomus elongatus;NA;Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0126;BFR004;BFA058;Phyllostomidae;Sturnira;Sturnira cf. lilium;Sturnira cf. giannae;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0127;BFR004;BFA058;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira giannae;NA;Cave Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0128;BFR004;BFA058;Phyllostomidae;Sturnira;Sturnira magna;Sturnira magna;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0129;BFR004;BFA059;Phyllostomidae;Lophostoma;Lophostoma silvicolum;Lophostoma silvicola;NA;Termitenest Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0130;BFR004;BFA059;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;Cave Foliage Human-madestructure Treecavity;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BFBPOP0131;BFR004;BFA060;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;Foliage;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
